country_name,year,co2,date
Australia,1990,15.45,1990-01-01
Australia,1991,15.32,1991-01-01
Australia,1992,15.34,1992-01-01
Australia,1993,15.46,1993-01-01
Australia,1994,15.69,1994-01-01
Australia,1995,16.06,1995-01-01
Australia,1996,16.43,1996-01-01
Australia,1997,16.63,1997-01-01
Australia,1998,17.56,1998-01-01
Australia,1999,17.63,1999-01-01
Australia,2000,17.72,2000-01-01
Australia,2001,17.8,2001-01-01
Australia,2002,17.98,2002-01-01
Australia,2003,17.72,2003-01-01
Australia,2004,18.17,2004-01-01
Australia,2005,18.15,2005-01-01
Australia,2006,18.14,2006-01-01
Australia,2007,18.52,2007-01-01
Australia,2008,18.3,2008-01-01
Australia,2009,18.22,2009-01-01
Australia,2010,17.59,2010-01-01
Australia,2011,17.3,2011-01-01
Australia,2012,17.02,2012-01-01
Australia,2013,16.44,2013-01-01
Australia,2014,15.83,2014-01-01
Australia,2015,15.86,2015-01-01
Australia,2016,15.91,2016-01-01
Australia,2017,15.82,2017-01-01
Australia,2018,15.49,2018-01-01
Australia,2019,15.24,2019-01-01
Brazil,1990,1.33,1990-01-01
Brazil,1991,1.35,1991-01-01
Brazil,1992,1.35,1992-01-01
Brazil,1993,1.37,1993-01-01
Brazil,1994,1.4,1994-01-01
Brazil,1995,1.49,1995-01-01
Brazil,1996,1.59,1996-01-01
Brazil,1997,1.68,1997-01-01
Brazil,1998,1.71,1998-01-01
Brazil,1999,1.75,1999-01-01
Brazil,2000,1.79,2000-01-01
Brazil,2001,1.8,2001-01-01
Brazil,2002,1.77,2002-01-01
Brazil,2003,1.71,2003-01-01
Brazil,2004,1.79,2004-01-01
Brazil,2005,1.78,2005-01-01
Brazil,2006,1.78,2006-01-01
Brazil,2007,1.85,2007-01-01
Brazil,2008,1.95,2008-01-01
Brazil,2009,1.81,2009-01-01
Brazil,2010,2.03,2010-01-01
Brazil,2011,2.12,2011-01-01
Brazil,2012,2.28,2012-01-01
Brazil,2013,2.42,2013-01-01
Brazil,2014,2.52,2014-01-01
Brazil,2015,2.37,2015-01-01
Brazil,2016,2.17,2016-01-01
Brazil,2017,2.2,2017-01-01
Brazil,2018,2.07,2018-01-01
Brazil,2019,2.06,2019-01-01
Canada,1990,15.15,1990-01-01
Canada,1991,14.74,1991-01-01
Canada,1992,15.03,1992-01-01
Canada,1993,14.71,1993-01-01
Canada,1994,15.06,1994-01-01
Canada,1995,15.29,1995-01-01
Canada,1996,15.59,1996-01-01
Canada,1997,15.94,1997-01-01
Canada,1998,16.08,1998-01-01
Canada,1999,16.26,1999-01-01
Canada,2000,16.76,2000-01-01
Canada,2001,16.33,2001-01-01
Canada,2002,16.72,2002-01-01
Canada,2003,17.21,2003-01-01
Canada,2004,16.79,2004-01-01
Canada,2005,17.03,2005-01-01
Canada,2006,16.6,2006-01-01
Canada,2007,17.38,2007-01-01
Canada,2008,16.56,2008-01-01
Canada,2009,15.5,2009-01-01
Canada,2010,15.79,2010-01-01
Canada,2011,16.0,2011-01-01
Canada,2012,15.73,2012-01-01
Canada,2013,15.84,2013-01-01
Canada,2014,15.85,2014-01-01
Canada,2015,15.65,2015-01-01
Canada,2016,15.42,2016-01-01
Canada,2017,15.54,2017-01-01
Canada,2018,15.65,2018-01-01
Canada,2019,15.43,2019-01-01
China,1990,1.91,1990-01-01
China,1991,2.0,1991-01-01
China,1992,2.08,1992-01-01
China,1993,2.24,1993-01-01
China,1994,2.32,1994-01-01
China,1995,2.56,1995-01-01
China,1996,2.52,1996-01-01
China,1997,2.55,1997-01-01
China,1998,2.61,1998-01-01
China,1999,2.52,1999-01-01
China,2000,2.65,2000-01-01
