distanceRange,Grouping,flightDistance,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-1000,Loyal Customer,498.9656951659769,2.7269701505679316,3.307035308620234,2.69231311085674,2.9688826274544335,3.179607290657744,3.166769393325702,3.3840274720436736,3.2947961609579997,3.3004314519679494,3.232473364444836,3.5487364620938626,3.244747732675883,3.561433477150656,3.237245751518887
0-1000,disloyal Customer,502.6186625874126,2.691542832167832,2.3233173076923075,2.6824191433566433,3.0015297202797204,3.0496066433566433,2.68711756993007,3.003769667832168,3.057637674825175,3.210609702797203,3.2012674825174825,3.6818728146853146,3.198972902097902,3.6746066433566433,3.0610249125874125
1000-2000,Loyal Customer,1469.3013971192527,2.735239413469441,3.216921147108439,2.806436264544314,2.956399498248194,3.2663177473074096,3.426705307322981,3.6024049483109133,3.446040053635538,3.4623902417924652,3.415761927419006,3.6257191054976428,3.3812881179981833,3.672001384142913,3.3808555733379473
1000-2000,disloyal Customer,1272.6658317678982,2.8002504696305572,2.6186599874765184,2.7877269881026927,2.952410770194114,3.046963055729493,2.7927363807138383,3.000208724692131,3.05802546441244,3.3132957628887496,3.268628678772699,3.7315800459194324,3.298893759131705,3.7877269881026927,3.052807347109163
2000-3000,Loyal Customer,2461.584408230038,2.7408922166991756,3.010067325237526,2.8868055118605676,3.003397722267665,3.329012772918895,3.688542125464041,3.763292015352671,3.6279494116906816,3.5753476373246085,3.626942679166929,3.745485433838797,3.428364688856729,3.7038318756685333,3.485119234883282
2000-3000,disloyal Customer,2403.432677760968,2.668683812405446,2.600605143721634,2.686838124054463,2.901664145234493,2.913767019667171,2.8350983358547657,3.102874432677761,3.1089258698941,3.363086232980333,3.4009077155824508,3.747352496217852,3.329803328290469,3.777609682299546,3.1059001512859306
3000-4000,Loyal Customer,3504.3061344291164,2.7420017610801293,2.937970844340084,2.925056256726348,2.9986302710106645,3.383230603659133,3.912239506897564,3.907934644359652,3.7861266020937285,3.7067801584972115,3.7336855493591625,3.7878876822228746,3.4819489286762546,3.7953233538792683,3.559240778788768
3000-4000,disloyal Customer,3674.125,2.4375,2.375,2.375,3.0,2.4375,3.4375,3.3125,3.1875,3.3125,3.25,3.875,3.3125,3.3125,3.3125
> 4000,Loyal Customer,4568.378048780488,2.7439024390243905,3.0,2.8536585365853657,3.0,3.3902439024390243,3.3780487804878048,3.451219512195122,3.341463414634146,3.2804878048780486,3.597560975609756,3.8048780487804876,3.426829268292683,3.341463414634146,3.5
> 4000,disloyal Customer,4617.125,2.375,2.0,2.25,3.375,2.375,3.125,2.875,3.5,3.625,3.875,4.5,2.875,3.875,2.875
