distanceRange,Grouping,flightDistance,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-1000,Female,498.9574345549738,2.7124607329842934,3.0468586387434553,2.6817277486910993,2.9799476439790578,3.1428010471204186,3.1360994764397905,3.3445811518324606,3.233376963350785,3.2703926701570682,3.1741361256544502,3.529214659685864,3.2244502617801047,3.533193717277487,3.188429319371728
0-1000,Male,500.7868199192171,2.7244164927214074,3.0883461194393993,2.6983653663693783,2.9736235734229717,3.153216405974681,2.960530239366749,3.2361950717015913,3.2407221664994985,3.2869690151535687,3.277399766868172,3.6350131475507603,3.2430534847786605,3.6468323890590693,3.200357830247499
1000-2000,Female,1433.3391538898354,2.732183418512209,3.1072544009085745,2.797984099943214,2.9568427030096536,3.230763770584895,3.373793299261783,3.54557069846678,3.3777683134582626,3.427810902896082,3.3478137421919363,3.6039892106757523,3.355763770584895,3.646933560477002,3.3309199318568994
1000-2000,Male,1437.7976414411808,2.7608884387208796,3.1213283171755175,2.8085660541166257,2.9545651859354654,3.2265229344523223,3.2608884387208796,3.4515989003038636,3.381131529445811,3.445955722760816,3.43401823180437,3.684560845029663,3.378744031254522,3.737664592678339,3.3180436984517434
2000-3000,Female,2458.3087415490454,2.731467204364844,2.993713675720555,2.8780690309571817,2.996085873561855,3.31538370300083,3.65377772506227,3.733364962637884,3.596133317518681,3.5631597675246116,3.604080180287036,3.723638951488554,3.4058830506464237,3.6905467916024195,3.457003914126438
2000-3000,Male,2460.2522467068816,2.7447987196848453,2.9937215314538963,2.8796011325864828,3.002708358980672,3.309368459928598,3.6551766588698755,3.740613073987443,3.6187369198571955,3.5707251015634616,3.6322787147605564,3.7683121999261355,3.443678443924658,3.723624276745045,3.4834420780499817
3000-4000,Female,3509.3881642982287,2.739147362273701,2.9340081759781973,2.903056258516644,2.9933813509830642,3.384660307572513,3.896826941794822,3.909480241386023,3.7759392641619622,3.699046135876971,3.73661670235546,3.7790539225228734,3.479073389137629,3.789176562195834,3.5637531633248978
3000-4000,Male,3499.72,2.743921568627451,2.9401960784313728,2.945490196078431,3.003921568627451,3.378823529411765,3.9262745098039216,3.9045098039215684,3.7945098039215686,3.7133333333333334,3.7292156862745096,3.7970588235294116,3.484313725490196,3.8,3.553921568627451
> 4000,Female,4644.372093023256,2.372093023255814,2.883720930232558,2.3488372093023258,2.813953488372093,3.0930232558139537,3.302325581395349,3.372093023255814,3.3488372093023258,3.1627906976744184,3.9302325581395348,3.9767441860465116,3.4186046511627906,3.4651162790697674,3.3488372093023258
> 4000,Male,4507.148936170212,3.021276595744681,2.9361702127659575,3.2127659574468086,3.234042553191489,3.4893617021276597,3.404255319148936,3.425531914893617,3.3617021276595747,3.4468085106382977,3.3404255319148937,3.765957446808511,3.3404255319148937,3.3191489361702127,3.5319148936170213
