Region,Year,Emissions Per Capita
South Asia,1990,0.19
South Asia,1991,0.21
South Asia,1992,0.45
South Asia,1993,0.99
South Asia,1994,0.19
South Asia,1995,0.3
Sub-Saharan Africa,1990,0.2
Sub-Saharan Africa,1991,0.12
Sub-Saharan Africa,1992,0.45
Sub-Saharan Africa,1993,0.90
Sub-Saharan Africa,1994,0.2
Sub-Saharan Africa,1995,0.34
Europe & Central Asia,1990,0.43
Europe & Central Asia,1991,0.45
Europe & Central Asia,1992,0.5
Europe & Central Asia,1993,0.23
Europe & Central Asia,1994,0.90
Europe & Central Asia,1995,0.90
Middle East & North Africa,1990,0.3
Middle East & North Africa,1991,0.12
Middle East & North Africa,1992,0.56
Middle East & North Africa,1993,0.23
Middle East & North Africa,1994,0.90
Middle East & North Africa,1995,0.78
Latin America & Caribbean,1990,0.09
Latin America & Caribbean,1991,0.01
Latin America & Caribbean,1992,0.34
Latin America & Caribbean,1993,0.05
Latin America & Caribbean,1994,0.9
Latin America & Caribbean,1995,0.19
Europe & Central Asia,1990,0.76
Europe & Central Asia,1991,0.90
Europe & Central Asia,1992,0.76
Europe & Central Asia,1993,0.86
Europe & Central Asia,1994,0.90
Europe & Central Asia,1995,0.56
Latin America & Caribbean,1990,0.6
Latin America & Caribbean,1991,0.16
Latin America & Caribbean,1992,0.26
Latin America & Caribbean,1993,0.24
Latin America & Caribbean,1994,0.25
Latin America & Caribbean,1995,0.10
