id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm84618,Taxi Driver,1976,114,"['drama', 'crime']",['US'],8.2,808582.0
tm154986,Deliverance,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7,107673.0
tm127384,Monty Python and the Holy Grail,1975,91,"['fantasy', 'action', 'comedy']",['GB'],8.2,534486.0
tm120801,The Dirty Dozen,1967,150,"['war', 'action']","['GB', 'US']",7.7,72662.0
tm70993,Life of Brian,1979,94,['comedy'],['GB'],8.0,395024.0
tm14873,Dirty Harry,1971,102,"['thriller', 'action', 'crime']",['US'],7.7,155051.0
tm119281,Bonnie and Clyde,1967,110,"['crime', 'drama', 'action']",['US'],7.7,112048.0
tm98978,The Blue Lagoon,1980,104,"['romance', 'action', 'drama']",['US'],5.8,69844.0
tm44204,The Guns of Navarone,1961,158,"['action', 'drama', 'war']","['GB', 'US']",7.5,50748.0
tm67378,The Professionals,1966,117,"['western', 'action', 'european']",['US'],7.3,16446.0
tm69997,Richard Pryor: Live in Concert,1979,78,"['comedy', 'documentation']",['US'],8.1,5141.0
tm16479,White Christmas,1954,115,"['romance', 'comedy']",['US'],7.5,42488.0
tm135083,Cairo Station,1958,77,"['drama', 'crime', 'comedy']",['EG'],7.5,4471.0
tm89386,Hitler: A Career,1977,150,"['history', 'documentation', 'european']",['DE'],7.5,2460.0
tm156453,FTA,1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.2,418.0
tm14350,Alexandria… Why?,1979,133,['drama'],['EG'],7.2,1727.0
tm81728,The Land,1969,129,['drama'],['EG'],8.1,1958.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm27298,Saladin the Victorious,1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6,2508.0
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm19608,The Blazing Sun,1954,100,"['crime', 'romance', 'drama']",['EG'],7.4,1219.0
tm204541,Dark Waters,1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7,610.0
tm259855,We Are All for the Fatherland,1979,74,['documentation'],"['LB', 'CA', 'FR']",6.1,47.0
tm356209,Singapore,1960,158,"['drama', 'thriller', 'crime']",['IN'],6.4,84.0
tm200475,"Beirut, Oh Beirut",1975,110,['drama'],['LB'],6.4,108.0
tm90896,The Return of the Prodigal Son,1976,124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2,780.0
tm336403,Khoon Khoon,1973,131,"['crime', 'thriller']",['IN'],5.1,41.0
tm107372,Manoranjan,1974,162,"['romance', 'drama', 'comedy']",['IN'],6.5,237.0
tm358653,Ujala,1959,142,"['romance', 'crime', 'drama']",['IN'],6.6,78.0
tm259684,Whispers,1980,93,['documentation'],"['CA', 'FR', 'LB']",7.8,78.0
tm403346,Chadi Jawani Budhe Nu,1976,135,['romance'],['IN'],4.6,14.0
tm16812,Bandie,1978,141,"['drama', 'action', 'romance']",['IN'],4.4,35.0
tm155787,GoodFellas,1990,145,"['drama', 'crime']",['US'],8.7,1131681.0
tm22327,Full Metal Jacket,1987,117,"['war', 'drama']","['US', 'GB']",8.3,729274.0
