id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm154986,Deliverance,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7,107673.0
tm127384,Monty Python and the Holy Grail,1975,91,"['fantasy', 'action', 'comedy']",['GB'],8.2,534486.0
tm120801,The Dirty Dozen,1967,150,"['war', 'action']","['GB', 'US']",7.7,72662.0
tm14873,Dirty Harry,1971,102,"['thriller', 'action', 'crime']",['US'],7.7,155051.0
tm119281,Bonnie and Clyde,1967,110,"['crime', 'drama', 'action']",['US'],7.7,112048.0
tm98978,The Blue Lagoon,1980,104,"['romance', 'action', 'drama']",['US'],5.8,69844.0
tm44204,The Guns of Navarone,1961,158,"['action', 'drama', 'war']","['GB', 'US']",7.5,50748.0
tm67378,The Professionals,1966,117,"['western', 'action', 'european']",['US'],7.3,16446.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm27298,Saladin the Victorious,1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6,2508.0
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm204541,Dark Waters,1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7,610.0
tm16812,Bandie,1978,141,"['drama', 'action', 'romance']",['IN'],4.4,35.0
tm40103,Mobile Suit Gundam: Char's Counterattack,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],7.3,1693.0
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],7.2,1274.0
tm49037,Mobile Suit Gundam III: Encounters in Space,1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],7.6,1236.0
tm159912,Agneepath,1990,174,"['drama', 'action', 'crime']",['IN'],7.6,8947.0
tm446654,Mujrim,1989,162,"['drama', 'action', 'crime']",['IN'],5.4,197.0
tm348735,Aakhri Adaalat,1988,148,"['action', 'crime', 'thriller']",['IN'],5.1,92.0
tm342996,Duniya,1984,170,"['action', 'drama']",['IN'],6.3,245.0
tm371359,Jaal,1986,159,"['action', 'drama', 'thriller']",['IN'],5.2,125.0
tm311264,Muqaddar Ka Faisla,1987,172,"['action', 'comedy', 'drama', 'family']",['IN'],4.8,69.0
