id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm40103,Mobile Suit Gundam: Char's Counterattack,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],7.3,1693.0
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],7.2,1274.0
tm49037,Mobile Suit Gundam III: Encounters in Space,1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],7.6,1236.0
tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],8.0,53152.0
tm186589,Cliffhanger,1993,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",6.5,128972.0
tm150260,Cloudy with a Chance of Meatballs,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],6.9,229274.0
tm27268,Monster House,2006,91,"['animation', 'comedy', 'family', 'fantasy']",['US'],6.6,117008.0
tm114476,Stuart Little 2,2002,78,"['animation', 'comedy', 'family', 'action', 'fantasy']",['US'],5.5,54193.0
tm97544,Alpha and Omega,2010,88,"['animation', 'family', 'comedy', 'action', 'romance']","['CA', 'US', 'IN']",5.1,14362.0
tm164557,Initial D,2005,107,"['crime', 'thriller', 'drama', 'action', 'animation', 'romance', 'comedy']","['JP', 'HK']",6.3,8678.0
tm80059,Naruto Shippuden the Movie,2007,94,"['animation', 'action', 'fantasy', 'family']",['JP'],6.7,4090.0
tm71558,The Legend of the Nahuala,2007,80,"['fantasy', 'animation', 'family']",['MX'],6.1,511.0
tm134235,One Piece: Strong World,2009,114,"['fantasy', 'action', 'animation']",['JP'],7.5,5467.0
tm49405,Inuyasha the Movie: Affections Touching Across Time,2001,99,"['action', 'animation', 'fantasy']",['JP'],7.2,2593.0
tm34846,Bleach the Movie: Fade to Black,2008,94,"['fantasy', 'action', 'drama', 'animation']",['JP'],7.1,2207.0
tm96037,Naruto Shippuden the Movie: The Lost Tower,2010,85,"['animation', 'action', 'fantasy']",['JP'],6.8,3650.0
tm93612,Bleach the Movie: Hell Verse,2010,94,"['fantasy', 'animation', 'action']",['JP'],7.4,2416.0
tm36164,Naruto Shippuden the Movie: Bonds,2008,90,"['fantasy', 'animation', 'action']",['JP'],6.8,4551.0
tm147494,Naruto Shippuden the Movie: The Will of Fire,2009,95,"['action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],7.0,3702.0
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,100,"['fantasy', 'action', 'animation', 'romance', 'comedy']",['JP'],7.3,2148.0
tm80339,Naruto: Ninja Clash in the Land of Snow,2004,90,"['comedy', 'fantasy', 'animation', 'action']",['JP'],6.6,6866.0
tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,95,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],7.0,1233.0
tm24576,Naruto: Guardians of the Crescent Moon Kingdom,2006,95,"['action', 'animation']",['JP'],6.4,4050.0
tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,89,"['comedy', 'drama', 'animation', 'action']",['JP'],6.9,1660.0
tm177687,Naruto: Legend of the Stone of Gelel,2005,96,"['fantasy', 'action', 'comedy', 'drama', 'animation']",['JP'],6.4,4380.0
tm89764,Inuyasha the Movie 4: Fire on the Mystic Island,2004,88,"['fantasy', 'animation', 'action', 'comedy']",['JP'],7.2,1845.0
tm138902,Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,99,"['animation', 'fantasy', 'action', 'thriller']",['JP'],7.6,2226.0
tm598375,Chhota Bheem Aur Krishna,2008,69,"['fantasy', 'animation', 'action']",['IN'],6.4,327.0
tm481594,Bheem vs Aliens,2010,69,['animation'],[],7.6,38.0
tm171885,Kung Fu Panda 2,2011,90,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action']",['US'],7.2,280433.0
tm168921,The Smurfs,2011,103,"['animation', 'family', 'action', 'comedy', 'fantasy']",['US'],5.4,90097.0
tm38980,Rise of the Guardians,2012,97,"['fantasy', 'action', 'family', 'animation', 'thriller', 'scifi', 'comedy', 'drama', 'european']",['US'],7.2,173157.0
tm60844,Berserk: The Golden Age Arc I - The Egg of the King,2012,76,"['action', 'fantasy', 'animation', 'horror', 'war', 'drama']",['JP'],7.5,12548.0
tm174683,Arthur Christmas,2011,97,"['drama', 'animation', 'family', 'comedy', 'fantasy']","['GB', 'US']",7.1,58635.0
