id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm127384,Monty Python and the Holy Grail,1975,91,"['fantasy', 'action', 'comedy']",['GB'],8.2,534486.0
tm70993,Life of Brian,1979,94,['comedy'],['GB'],8.0,395024.0
tm69997,Richard Pryor: Live in Concert,1979,78,"['comedy', 'documentation']",['US'],8.1,5141.0
tm16479,White Christmas,1954,115,"['romance', 'comedy']",['US'],7.5,42488.0
tm135083,Cairo Station,1958,77,"['drama', 'crime', 'comedy']",['EG'],7.5,4471.0
tm156453,FTA,1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.2,418.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm107372,Manoranjan,1974,162,"['romance', 'drama', 'comedy']",['IN'],6.5,237.0
tm138875,When Harry Met Sally...,1989,96,"['comedy', 'romance', 'drama']",['US'],7.7,216199.0
tm133087,Steel Magnolias,1989,119,"['comedy', 'drama', 'romance']",['US'],7.3,54946.0
tm177480,Police Academy,1984,97,"['crime', 'comedy']",['US'],6.7,124881.0
tm147710,National Lampoon's Christmas Vacation,1989,97,"['comedy', 'european']",['US'],7.5,185760.0
tm20712,Eddie Murphy Raw,1987,90,"['comedy', 'documentation']",['US'],7.6,19757.0
tm117580,She's Gotta Have It,1986,84,"['romance', 'comedy']",['US'],6.7,14472.0
tm21953,Sam Kinison: Breaking the Rules,1987,50,"['comedy', 'documentation']",['US'],7.2,660.0
tm126769,Waiting for the Hearse,1985,87,['comedy'],['AR'],8.0,6399.0
tm152839,Tim Allen: Men Are Pigs,1990,30,"['comedy', 'documentation']",['US'],6.1,360.0
tm62924,Monty Python Live at the Hollywood Bowl,1982,81,"['comedy', 'documentation']",['GB'],7.9,15230.0
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,72,['comedy'],['GB'],8.1,1522.0
tm157603,Dil,1990,172,"['drama', 'comedy', 'romance']",['IN'],6.6,5316.0
tm311264,Muqaddar Ka Faisla,1987,172,"['action', 'comedy', 'drama', 'family']",['IN'],4.8,69.0
tm25947,Snatch,2000,103,"['crime', 'comedy']","['US', 'GB']",8.3,841435.0
tm113513,Dumb and Dumber,1994,107,['comedy'],['US'],7.3,379999.0
tm56574,You've Got Mail,1998,119,"['comedy', 'romance', 'drama']",['US'],6.7,211635.0
tm53991,Big Daddy,1999,93,"['drama', 'comedy', 'european']",['US'],6.4,215053.0
tm187187,Last Action Hero,1993,131,"['action', 'fantasy', 'comedy', 'family']",['US'],6.4,150498.0
tm6859,My Girl,1991,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],6.9,80590.0
tm192769,Vegas Vacation,1997,94,['comedy'],['US'],5.9,49377.0
tm19494,The Replacements,2000,118,"['comedy', 'sport']",['US'],6.6,64771.0
tm186589,Cliffhanger,1993,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",6.5,128972.0
tm1822,3 Ninjas Kick Back,1994,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",4.5,9321.0
tm55369,Edge of Seventeen,1998,104,"['romance', 'drama', 'comedy']",['US'],6.8,6549.0
tm191431,Double Team,1997,93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",4.8,34396.0
tm49839,The Players Club,1998,104,"['comedy', 'drama']",['US'],5.9,6676.0
tm67635,Kuch Kuch Hota Hai,1998,185,"['romance', 'comedy', 'drama']",['IN'],7.6,52036.0
tm117873,Hum Aapke Hain Koun..!,1994,206,"['drama', 'romance', 'comedy']",['IN'],7.5,21123.0
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,1998,75,"['comedy', 'documentation']",['US'],7.9,5879.0
tm41525,Herod's Law,1999,123,"['comedy', 'crime', 'thriller']",['MX'],7.8,6035.0
tm21911,Sam Kinison: Live in Vegas,1991,72,"['comedy', 'music', 'documentation']",['US'],6.6,276.0
tm188970,Bill Hicks: Revelations,1993,74,"['comedy', 'documentation']",['GB'],8.5,3098.0
tm104933,Sinbad: Son of a Preacher Man,1996,56,"['comedy', 'documentation']",['US'],6.8,116.0
tm191614,Destiny,1997,136,"['drama', 'history', 'comedy', 'romance']","['FR', 'EG']",7.1,2857.0
tm9898,Muthu,1995,165,"['comedy', 'drama', 'action', 'romance']",['IN'],7.6,3056.0
tm47530,Jeans,1998,175,"['comedy', 'drama', 'romance']",['IN'],6.4,3604.0
tm57169,Monty Python: Live at Aspen,1998,58,"['comedy', 'documentation']","['GB', 'US']",7.8,1096.0
tm192301,Minsara Kanavu,1997,145,"['comedy', 'romance', 'drama']",['IN'],6.7,1226.0
tm58893,Duplicate,1998,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],5.5,7618.0
tm110160,Avvai Shanmugi,1996,160,"['drama', 'comedy']",['IN'],7.9,2586.0
tm27601,Phir Bhi Dil Hai Hindustani,2000,160,"['comedy', 'romance', 'drama']",['IN'],6.1,7610.0
tm7951,Tim Allen: Rewires America,1991,30,"['comedy', 'documentation']",['US'],6.0,198.0
tm52083,West Beirut,1998,105,"['romance', 'drama', 'comedy', 'war', 'european']","['FR', 'NO', 'LB', 'BE']",7.6,4221.0
tm64729,Sinbad: Nothin' but the Funk,1998,56,"['comedy', 'documentation']",['US'],6.3,65.0
tm184224,Sinbad: Afros and Bellbottoms,1993,60,"['comedy', 'documentation']",['US'],7.8,172.0
tm34391,Before the Flying Circus,2000,55,"['comedy', 'documentation']",['GB'],7.3,168.0
tm42397,Hello Brother,1999,131,"['comedy', 'romance', 'fantasy', 'action']",['IN'],4.6,4262.0
tm91952,Mean Girls,2004,97,['comedy'],"['CA', 'US']",7.1,375975.0
tm150112,Old School,2003,88,"['comedy', 'european']",['US'],7.0,229171.0
tm80906,Anchorman: The Legend of Ron Burgundy,2004,95,['comedy'],['US'],7.1,353118.0
tm89677,The Terminal,2004,128,"['drama', 'comedy', 'romance']",['US'],7.4,441752.0
tm133767,Love Actually,2003,135,"['drama', 'comedy', 'romance']","['GB', 'US']",7.6,476101.0
tm45454,Get Smart,2008,110,"['comedy', 'thriller', 'action']",['US'],6.5,216695.0
tm93055,Grown Ups,2010,102,"['comedy', 'drama', 'european']",['US'],5.9,249934.0
tm85811,The Girl Next Door,2004,110,"['comedy', 'romance', 'drama']",['US'],6.7,223380.0
tm58382,Not Another Teen Movie,2001,89,['comedy'],['US'],5.7,105352.0
tm148270,Something's Gotta Give,2003,128,"['drama', 'comedy', 'romance']",['US'],6.7,121364.0
tm89036,Harold & Kumar Go to White Castle,2004,83,['comedy'],['US'],7.0,194695.0
tm150260,Cloudy with a Chance of Meatballs,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],6.9,229274.0
tm116324,Jackass: The Movie,2002,88,"['comedy', 'documentation', 'action']",['US'],6.6,94423.0
tm39828,Semi-Pro,2008,94,"['comedy', 'sport', 'european']",['US'],5.8,82159.0
tm169949,Just Like Heaven,2005,95,"['romance', 'drama', 'comedy', 'fantasy']",['US'],6.7,108029.0
tm30205,Ip Man,2008,106,"['drama', 'fantasy', 'comedy', 'history', 'action']",['HK'],8.0,222372.0
tm159901,Miss Congeniality 2: Armed and Fabulous,2005,115,"['action', 'comedy', 'crime']",['US'],5.1,74637.0
tm74780,The Bucket List,2007,97,"['drama', 'comedy', 'european']",['US'],7.4,244028.0
tm24088,Scary Movie 4,2006,83,"['comedy', 'horror']",['US'],5.1,120997.0
tm111600,The Sweetest Thing,2002,84,"['comedy', 'romance']",['US'],5.1,58884.0
tm88045,How Do You Know,2010,121,"['comedy', 'drama', 'romance']",['US'],5.4,50383.0
tm78919,Mr. Bean's Holiday,2007,90,"['family', 'comedy', 'european']","['US', 'FR', 'DE', 'GB']",6.4,125160.0
tm142564,3 Idiots,2009,170,"['drama', 'comedy']",['IN'],8.4,390739.0
tm148379,The Cat in the Hat,2003,82,"['family', 'fantasy', 'comedy', 'action']",['US'],4.0,82684.0
tm90864,Due Date,2010,95,"['comedy', 'drama']",['US'],6.5,341390.0
tm147211,The Men Who Stare at Goats,2009,94,"['comedy', 'war']","['US', 'GB']",6.2,132177.0
tm27268,Monster House,2006,91,"['animation', 'comedy', 'family', 'fantasy']",['US'],6.6,117008.0
tm86189,Good Luck Chuck,2007,101,"['comedy', 'romance']","['US', 'CA']",5.6,90212.0
tm101249,Cop Out,2010,107,"['crime', 'action', 'comedy', 'thriller']",['US'],5.5,88026.0
tm81270,Starsky & Hutch,2004,101,"['comedy', 'crime']",['US'],6.1,146880.0
tm89684,New York Minute,2004,87,"['comedy', 'crime', 'family', 'romance']",['US'],4.9,23476.0
tm165593,Rumor Has It...,2005,97,"['romance', 'comedy', 'drama']","['DE', 'US']",5.5,58247.0
tm112381,Comedian,2002,82,"['comedy', 'documentation']",['US'],6.9,6985.0
tm39487,Catch and Release,2006,111,"['drama', 'romance', 'comedy']",['US'],5.9,26528.0
tm29555,Friends with Money,2006,88,"['comedy', 'drama', 'romance']",['US'],5.8,30468.0
tm97070,Life As We Know It,2010,114,"['comedy', 'romance', 'drama']",['US'],6.5,131623.0
tm101334,Death at a Funeral,2010,92,"['comedy', 'drama']",['US'],5.7,49901.0
tm86924,Soul Plane,2004,86,"['romance', 'comedy']",['US'],4.5,23048.0
tm104880,Louis C.K.: Hilarious,2010,84,['comedy'],['US'],8.4,12089.0
tm22294,Deck the Halls,2006,93,"['family', 'comedy']",['US'],5.0,27936.0
tm130574,Did You Hear About the Morgans?,2009,103,"['comedy', 'drama', 'romance']",['US'],4.9,40551.0
tm114476,Stuart Little 2,2002,78,"['animation', 'comedy', 'family', 'action', 'fantasy']",['US'],5.5,54193.0
tm86995,Christmas with the Kranks,2004,99,"['comedy', 'family']",['US'],5.4,49302.0
tm97544,Alpha and Omega,2010,88,"['animation', 'family', 'comedy', 'action', 'romance']","['CA', 'US', 'IN']",5.1,14362.0
tm164557,Initial D,2005,107,"['crime', 'thriller', 'drama', 'action', 'animation', 'romance', 'comedy']","['JP', 'HK']",6.3,8678.0
tm22636,Trailer Park Boys: The Movie,2006,95,"['comedy', 'crime']",['CA'],7.1,12910.0
tm22493,Katt Williams: The Pimp Chronicles Pt. 1,2006,46,"['comedy', 'documentation']",['US'],7.6,1819.0
tm73058,Om Shanti Om,2007,162,"['thriller', 'drama', 'action', 'comedy', 'fantasy', 'romance']",['IN'],6.7,43052.0
tm138497,Trailer Park Boys: Countdown to Liquor Day,2009,102,"['comedy', 'crime']",['CA'],7.3,7488.0
tm144345,Kal Ho Naa Ho,2003,186,"['drama', 'romance', 'comedy']",['IN'],7.9,68551.0
tm76835,Jab We Met,2007,144,"['romance', 'comedy', 'drama']",['IN'],7.9,52531.0
tm75022,Zach Galifianakis: Live at the Purple Onion,2007,61,"['comedy', 'documentation']",['US'],7.2,3977.0
tm41508,First Sunday,2008,96,"['comedy', 'action', 'crime', 'drama']",['US'],4.5,10927.0
tm33981,Bon Cop Bad Cop,2006,116,"['comedy', 'crime', 'action', 'scifi', 'drama', 'thriller']",['CA'],6.5,61.0
tm95238,The Boy Who Cried Werewolf,2010,97,"['fantasy', 'horror', 'family', 'comedy']","['US', 'CA']",5.9,3315.0
tm32885,Rang De Basanti,2006,157,"['drama', 'history', 'comedy', 'crime']",['IN'],8.1,118477.0
tm99776,Whitney Cummings: Money Shot,2010,48,"['comedy', 'documentation']",['US'],6.2,917.0
tm83175,Welcome,2007,160,"['drama', 'action', 'comedy', 'romance', 'crime']",['IN'],7.0,22243.0
tm139349,Jim Gaffigan: King Baby,2009,72,"['comedy', 'documentation']",['US'],7.7,2564.0
tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,2008,60,['comedy'],['US'],7.6,1794.0
tm61056,Dil Chahta Hai,2001,184,"['romance', 'comedy', 'drama']",['IN'],8.1,71586.0
tm129763,Anbe Sivam,2003,160,"['comedy', 'drama']",['IN'],8.7,21167.0
tm71119,Delta Farce,2007,90,"['comedy', 'action']",['US'],3.6,11177.0
tm170873,My Suicide,2009,110,"['drama', 'comedy']",['US'],7.0,1981.0
tm22540,Phir Hera Pheri,2006,155,"['comedy', 'crime']",['IN'],7.1,23119.0
tm110923,Divine Intervention,2002,92,"['romance', 'comedy', 'drama', 'war']","['FR', 'MA', 'DE', 'PS']",6.6,3598.0
tm168869,Da Kath & Kim Code,2005,90,['comedy'],['AU'],7.3,928.0
tm147686,Kevin Hart: I'm a Grown Little Man,2009,73,"['comedy', 'documentation']",['US'],7.5,4411.0
tm29731,Chup Chup Ke,2006,165,"['comedy', 'drama', 'romance']",['IN'],6.9,10810.0
tm147494,Naruto Shippuden the Movie: The Will of Fire,2009,95,"['action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],7.0,3702.0
tm89936,Arahan,2004,114,"['fantasy', 'action', 'comedy', 'thriller']",['KR'],6.6,3841.0
tm81461,Whisky,2004,99,"['comedy', 'drama']","['AR', 'DE', 'UY', 'ES']",7.1,6293.0
tm155761,Ajab Prem Ki Ghazab Kahani,2009,150,"['comedy', 'action', 'romance']",['IN'],6.3,14603.0
tm48083,Te quiero,2001,85,"['drama', 'comedy', 'european']",['FR'],5.0,75.0
tm33067,Race,2008,161,"['drama', 'action', 'thriller', 'crime', 'comedy']",['IN'],7.0,63.0
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,100,"['fantasy', 'action', 'animation', 'romance', 'comedy']",['JP'],7.3,2148.0
tm82718,G.O.R.A.,2004,127,"['action', 'comedy', 'scifi']",['TR'],8.0,62386.0
tm39557,Jaane Tu... Ya Jaane Na,2008,146,"['drama', 'comedy', 'romance']",['IN'],7.4,26894.0
tm30289,Jeff Dunham: Arguing with Myself,2006,76,"['comedy', 'documentation']",['US'],8.0,4000.0
tm80339,Naruto: Ninja Clash in the Land of Snow,2004,90,"['comedy', 'fantasy', 'animation', 'action']",['JP'],6.6,6866.0
tm33729,Taxi No. 9 2 11,2006,116,"['drama', 'thriller', 'comedy']",['IN'],7.2,9964.0
tm145243,Wake Up Sid,2009,138,"['comedy', 'drama', 'romance']",['IN'],7.6,31167.0
tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,95,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],7.0,1233.0
tm111226,Awara Paagal Deewana,2002,169,"['comedy', 'action', 'crime', 'drama', 'thriller']",['IN'],6.2,8393.0
tm166293,The Blue Umbrella,2005,90,"['drama', 'family', 'fantasy', 'comedy']",['IN'],7.3,2097.0
tm92977,Ishqiya,2010,115,"['thriller', 'comedy', 'drama', 'romance']",['IN'],7.3,10469.0
tm77348,Life in a Metro,2007,124,"['drama', 'romance', 'comedy']",['IN'],7.4,12036.0
tm91323,I Hate Luv Storys,2010,129,"['comedy', 'drama', 'romance']",['IN'],5.6,8042.0
tm88366,Main Hoon Na,2004,179,"['drama', 'action', 'comedy', 'romance', 'thriller']",['IN'],7.0,35484.0
tm156575,Billu,2009,137,"['drama', 'comedy']",['IN'],6.3,11884.0
tm164389,Paheli,2005,141,"['romance', 'drama', 'fantasy', 'comedy']",['IN'],6.3,13263.0
tm106625,"LSD: Love, Sex aur Dhokha",2010,108,"['drama', 'comedy', 'crime', 'romance']",['IN'],7.2,5684.0
tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,89,"['comedy', 'drama', 'animation', 'action']",['JP'],6.9,1660.0
tm99450,Break Ke Baad,2010,120,"['comedy', 'drama', 'romance']",['IN'],5.1,4275.0
tm129971,Luck by Chance,2009,155,"['romance', 'drama', 'comedy']",['IN'],7.1,10272.0
tm56428,Trailer Park Boys: Say Goodnight to the Bad Guys,2008,60,['comedy'],['CA'],7.8,3555.0
tm177687,Naruto: Legend of the Stone of Gelel,2005,96,"['fantasy', 'action', 'comedy', 'drama', 'animation']",['JP'],6.4,4380.0
tm77863,Honeymoon Travels Pvt. Ltd.,2007,118,"['comedy', 'drama', 'romance']",['IN'],6.1,2648.0
tm89764,Inuyasha the Movie 4: Fire on the Mystic Island,2004,88,"['fantasy', 'animation', 'action', 'comedy']",['JP'],7.2,1845.0
tm134407,Dev.D,2009,141,"['comedy', 'drama', 'romance']",['IN'],7.9,30567.0
tm54147,Dostana,2008,142,"['drama', 'romance', 'comedy']","['IN', 'US']",6.5,15063.0
tm101684,Romantik Komedi,2010,95,"['comedy', 'romance']",['TR'],5.3,5111.0
tm146887,Delhi-6,2009,141,"['drama', 'comedy']",['IN'],6.1,7761.0
tm165809,Bluffmaster!,2005,137,"['drama', 'comedy', 'romance', 'thriller', 'crime']",['IN'],6.6,6370.0
tm31335,Golmaal Returns,2008,135,"['comedy', 'crime']",['IN'],5.1,7983.0
tm43179,Oye Lucky! Lucky Oye!,2008,42,"['comedy', 'action', 'crime', 'drama']",['IN'],7.7,17538.0
tm148041,What's Your Raashee?,2009,192,"['comedy', 'drama', 'romance']",['IN'],4.8,2732.0
tm176297,Kyaa Kool Hai Hum,2005,172,['comedy'],['IN'],6.1,3537.0
tm68191,My Führer,2007,89,"['war', 'comedy', 'drama', 'european']",['DE'],5.5,4442.0
tm22989,Jim Gaffigan: Beyond the Pale,2006,72,"['comedy', 'documentation']",['US'],7.8,3974.0
tm44634,Kevin James: Sweat the Small Stuff,2001,42,"['comedy', 'documentation']",['US'],7.4,1087.0
tm22558,Mukhsin,2006,95,"['comedy', 'drama', 'family']",['MY'],7.3,388.0
tm85243,The Trailer Park Boys Xmas Special,2004,57,['comedy'],['CA'],8.0,3446.0
tm36636,C Kkompany,2008,130,"['comedy', 'drama', 'thriller']",['IN'],5.5,1136.0
tm98475,We Are Family,2010,115,"['drama', 'family', 'comedy']",['IN'],5.6,3166.0
