id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm84618,Taxi Driver,1976,114,"['drama', 'crime']",['US'],8.2,808582.0
tm14873,Dirty Harry,1971,102,"['thriller', 'action', 'crime']",['US'],7.7,155051.0
tm119281,Bonnie and Clyde,1967,110,"['crime', 'drama', 'action']",['US'],7.7,112048.0
tm135083,Cairo Station,1958,77,"['drama', 'crime', 'comedy']",['EG'],7.5,4471.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm19608,The Blazing Sun,1954,100,"['crime', 'romance', 'drama']",['EG'],7.4,1219.0
tm356209,Singapore,1960,158,"['drama', 'thriller', 'crime']",['IN'],6.4,84.0
tm90896,The Return of the Prodigal Son,1976,124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2,780.0
tm336403,Khoon Khoon,1973,131,"['crime', 'thriller']",['IN'],5.1,41.0
tm358653,Ujala,1959,142,"['romance', 'crime', 'drama']",['IN'],6.6,78.0
tm155787,GoodFellas,1990,145,"['drama', 'crime']",['US'],8.7,1131681.0
tm180542,Once Upon a Time in America,1984,139,"['crime', 'drama', 'european']","['US', 'IT']",8.3,345714.0
tm177480,Police Academy,1984,97,"['crime', 'comedy']",['US'],6.7,124881.0
tm159912,Agneepath,1990,174,"['drama', 'action', 'crime']",['IN'],7.6,8947.0
tm51083,A Stoning in Fulham County,1988,120,"['thriller', 'crime', 'drama']",['US'],5.9,387.0
tm258072,Adam: His Song Continues,1986,100,"['crime', 'drama']",['US'],7.0,212.0
tm157853,In Defense of a Married Man,1990,94,"['drama', 'crime']",['US'],5.6,207.0
tm446654,Mujrim,1989,162,"['drama', 'action', 'crime']",['IN'],5.4,197.0
tm348735,Aakhri Adaalat,1988,148,"['action', 'crime', 'thriller']",['IN'],5.1,92.0
tm15897,Se7en,1995,127,"['crime', 'thriller', 'drama']",['US'],8.6,1606270.0
tm25947,Snatch,2000,103,"['crime', 'comedy']","['US', 'GB']",8.3,841435.0
tm43808,The Talented Mr. Ripley,1999,139,"['thriller', 'drama', 'crime']",['US'],7.4,207524.0
tm116655,Léon: The Professional,1994,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",8.5,1137357.0
tm116488,Natural Born Killers,1994,118,"['thriller', 'drama', 'crime', 'action']",['US'],7.3,11.0
tm191989,Donnie Brasco,1997,127,"['drama', 'thriller', 'crime']",['US'],7.7,303868.0
tm118238,Wyatt Earp,1994,191,"['western', 'crime', 'action', 'drama']",['US'],6.7,50774.0
tm111163,Eraser,1996,115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",6.1,110921.0
tm187791,In the Line of Fire,1993,128,"['drama', 'thriller', 'crime', 'action']",['US'],7.2,102916.0
tm65686,U.S. Marshals,1998,131,"['thriller', 'crime', 'action']",['US'],6.5,105286.0
tm12499,The Net,1995,114,"['thriller', 'action', 'crime', 'drama']",['US'],5.9,66667.0
tm189764,Menace II Society,1993,97,"['drama', 'crime', 'thriller']",['US'],7.5,58179.0
tm192431,The Devil's Own,1997,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],6.2,65323.0
tm56033,Croupier,1998,94,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",7.0,21599.0
tm41525,Herod's Law,1999,123,"['comedy', 'crime', 'thriller']",['MX'],7.8,6035.0
tm184326,Damini,1993,175,"['drama', 'crime']",['IN'],7.8,3523.0
tm58893,Duplicate,1998,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],5.5,7618.0
tm118438,Anjaam,1994,137,"['romance', 'crime', 'thriller', 'drama']",['IN'],6.6,6532.0
