id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm69997,Richard Pryor: Live in Concert,1979,78,"['comedy', 'documentation']",['US'],8.1,5141.0
tm89386,Hitler: A Career,1977,150,"['history', 'documentation', 'european']",['DE'],7.5,2460.0
tm156453,FTA,1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.2,418.0
tm259855,We Are All for the Fatherland,1979,74,['documentation'],"['LB', 'CA', 'FR']",6.1,47.0
tm259684,Whispers,1980,93,['documentation'],"['CA', 'FR', 'LB']",7.8,78.0
tm20712,Eddie Murphy Raw,1987,90,"['comedy', 'documentation']",['US'],7.6,19757.0
tm21953,Sam Kinison: Breaking the Rules,1987,50,"['comedy', 'documentation']",['US'],7.2,660.0
tm152839,Tim Allen: Men Are Pigs,1990,30,"['comedy', 'documentation']",['US'],6.1,360.0
tm62924,Monty Python Live at the Hollywood Bowl,1982,81,"['comedy', 'documentation']",['GB'],7.9,15230.0
tm320211,Children of God,1994,63,['documentation'],['GB'],6.3,612.0
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,1998,75,"['comedy', 'documentation']",['US'],7.9,5879.0
tm63514,The Last Days,1998,87,"['drama', 'history', 'war', 'documentation']",['US'],7.9,4378.0
tm21911,Sam Kinison: Live in Vegas,1991,72,"['comedy', 'music', 'documentation']",['US'],6.6,276.0
tm188970,Bill Hicks: Revelations,1993,74,"['comedy', 'documentation']",['GB'],8.5,3098.0
tm104933,Sinbad: Son of a Preacher Man,1996,56,"['comedy', 'documentation']",['US'],6.8,116.0
tm57169,Monty Python: Live at Aspen,1998,58,"['comedy', 'documentation']","['GB', 'US']",7.8,1096.0
tm203186,Children of Shatila,1999,50,"['documentation', 'history']",['LB'],8.1,78.0
tm7951,Tim Allen: Rewires America,1991,30,"['comedy', 'documentation']",['US'],6.0,198.0
tm64729,Sinbad: Nothin' but the Funk,1998,56,"['comedy', 'documentation']",['US'],6.3,65.0
tm184224,Sinbad: Afros and Bellbottoms,1993,60,"['comedy', 'documentation']",['US'],7.8,172.0
tm34391,Before the Flying Circus,2000,55,"['comedy', 'documentation']",['GB'],7.3,168.0
tm105329,Road to Perdition,2002,117,"['thriller', 'documentation', 'drama', 'crime']",['US'],7.7,265216.0
tm116324,Jackass: The Movie,2002,88,"['comedy', 'documentation', 'action']",['US'],6.6,94423.0
tm23935,The Lake House,2006,99,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']",['US'],6.8,149070.0
tm112381,Comedian,2002,82,"['comedy', 'documentation']",['US'],6.9,6985.0
tm26638,The Texas Chainsaw Massacre: The Beginning,2006,91,"['thriller', 'horror', 'documentation']",['US'],5.8,72845.0
tm85549,Tito,2004,120,"['documentation', 'crime', 'drama', 'romance', 'action']",['EG'],7.2,3214.0
tm22493,Katt Williams: The Pimp Chronicles Pt. 1,2006,46,"['comedy', 'documentation']",['US'],7.6,1819.0
tm38896,From Within,2008,89,"['horror', 'thriller', 'documentation', 'war', 'european']",['US'],5.6,7650.0
tm75022,Zach Galifianakis: Live at the Purple Onion,2007,61,"['comedy', 'documentation']",['US'],7.2,3977.0
tm72587,Guru,2007,166,"['romance', 'documentation', 'drama', 'european']",['IN'],7.7,23708.0
tm99776,Whitney Cummings: Money Shot,2010,48,"['comedy', 'documentation']",['US'],6.2,917.0
tm139349,Jim Gaffigan: King Baby,2009,72,"['comedy', 'documentation']",['US'],7.7,2564.0
tm25842,A Lion in the House,2006,225,['documentation'],['US'],8.7,324.0
tm147686,Kevin Hart: I'm a Grown Little Man,2009,73,"['comedy', 'documentation']",['US'],7.5,4411.0
tm175687,Sir! No Sir!,2005,85,"['war', 'documentation']",['US'],7.6,783.0
tm352243,Interview with a Serial Killer,2008,44,"['documentation', 'crime']",['US'],5.9,611.0
tm30289,Jeff Dunham: Arguing with Myself,2006,76,"['comedy', 'documentation']",['US'],8.0,4000.0
tm368679,Madness in the Desert,2004,141,['documentation'],['IN'],8.4,379.0
tm22989,Jim Gaffigan: Beyond the Pale,2006,72,"['comedy', 'documentation']",['US'],7.8,3974.0
tm44634,Kevin James: Sweat the Small Stuff,2001,42,"['comedy', 'documentation']",['US'],7.4,1087.0
tm52352,This Is the Life,2008,97,"['music', 'documentation']",['US'],6.3,264.0
tm241875,Frank & Cindy,2007,73,"['documentation', 'music', 'drama']",['US'],6.9,348.0
tm308960,Gina Yashere: Skinny B*tch,2008,57,"['comedy', 'documentation']",['GB'],6.5,86.0
tm144835,Sergio,2009,94,['documentation'],['US'],7.4,887.0
tm38454,Jeff Dunham's Very Special Christmas Special,2008,85,"['comedy', 'documentation']",['US'],7.4,3042.0
tm216753,Old Thieves: The Legend of Artegio,2007,97,"['documentation', 'crime']",['MX'],8.0,317.0
tm254745,Frontiers of Dreams and Fears,2001,56,"['documentation', 'history']",['PS'],8.2,55.0
tm72845,John Mulaney: New in Town,2012,58,"['comedy', 'documentation']",['US'],8.2,6729.0
tm161904,Bully,2011,92,"['drama', 'documentation']",['US'],7.4,10266.0
tm57436,Sleepless Nights,2012,128,['documentation'],['FR'],7.7,27.0
tm183039,Donald Glover: Weirdo,2012,65,"['comedy', 'documentation']",['US'],7.4,3584.0
tm174190,Undefeated,2011,113,"['documentation', 'sport']",['US'],7.7,7073.0
tm1096916,The Trial of Adolf Eichmann,2011,90,['documentation'],['FR'],7.5,84.0
tm181856,Jeff Dunham: Controlled Chaos,2011,90,"['comedy', 'documentation']",['US'],7.4,2296.0
tm164090,Lavell Crawford: Can a Brother Get Some Love?,2011,90,"['comedy', 'documentation']",['US'],6.9,234.0
tm63368,A World Not Ours,2012,93,"['documentation', 'history']",['PS'],7.8,388.0
tm148147,Big Eyes,2014,106,"['drama', 'documentation', 'romance', 'crime']","['CA', 'US']",7.2,51.0
tm175843,Dark Skies,2013,97,"['scifi', 'thriller', 'horror', 'documentation']",['US'],6.3,75663.0
tm148976,The Battered Bastards of Baseball,2014,80,"['documentation', 'sport']",['US'],8.0,4043.0
tm151716,Cowspiracy: The Sustainability Secret,2014,90,['documentation'],['US'],8.2,25133.0
tm149038,Bill Burr: I'm Sorry You Feel That Way,2014,80,"['comedy', 'documentation']",['US'],8.3,8084.0
tm138431,Virunga,2014,90,"['documentation', 'war']","['CD', 'GB']",8.2,11476.0
tm171965,Mike Birbiglia: My Girlfriend's Boyfriend,2013,75,"['comedy', 'documentation', 'romance']",['US'],8.0,3331.0
tm185208,Elena,2013,82,"['documentation', 'european', 'drama', 'family']","['US', 'BR']",7.6,1823.0
tm152904,Tom Segura: Completely Normal,2014,74,"['comedy', 'documentation']",['US'],7.7,2663.0
tm172710,We Steal Secrets: The Story of WikiLeaks,2013,127,['documentation'],['US'],6.9,7934.0
tm187390,The Square,2013,88,"['documentation', 'drama', 'history']","['US', 'EG', 'GB']",8.1,8949.0
tm171929,The Short Game,2013,100,"['documentation', 'sport']",['US'],7.3,1570.0
tm215339,Ralphie May: Imperfectly Yours,2013,69,"['comedy', 'documentation']",['US'],5.4,154.0
tm139922,"The Other One: The Long, Strange Trip of Bob Weir",2014,85,"['music', 'documentation']",['US'],7.3,1677.0
tm183706,Birth Reborn,2013,91,"['documentation', 'family', 'history']",['BR'],7.8,252.0
tm199408,Monty Python: The Meaning of Live,2014,96,"['documentation', 'comedy']",['GB'],7.6,598.0
tm148597,Monty Python: Live (Mostly),2014,138,"['documentation', 'comedy', 'music']",['GB'],7.6,2623.0
tm167342,Satyagraha,2013,152,"['drama', 'documentation']",['IN'],5.9,5171.0
tm35895,Buddies,2013,94,"['drama', 'comedy', 'action', 'documentation', 'european']",['BR'],6.5,1082.0
tm2269,Selfie,2014,123,"['comedy', 'documentation', 'drama', 'european']",['RO'],6.0,1671.0
tm149578,Mission Blue,2014,94,"['documentation', 'drama']",['US'],7.9,1991.0
tm236725,My Beautiful Broken Brain,2014,84,['documentation'],['GB'],7.0,2286.0
tm151210,Jim Gaffigan: Obsessed,2014,70,"['comedy', 'documentation']",['US'],7.6,2244.0
tm175954,Aziz Ansari: Buried Alive,2013,79,"['comedy', 'documentation']",['US'],7.2,3998.0
tm158436,Print the Legend,2014,100,"['documentation', 'drama', 'history']",['US'],7.0,1967.0
tm209037,Tea Time,2014,70,['documentation'],['CL'],7.6,507.0
tm153055,Mitt,2014,93,"['documentation', 'family']",['US'],6.9,2579.0
tm157609,Born in Gaza,2014,69,"['documentation', 'european']",['ES'],7.4,511.0
tm202914,My Own Man,2014,82,"['documentation', 'drama', 'comedy', 'family']",['US'],6.4,447.0
tm147518,City of God: 10 Years Later,2013,69,['documentation'],['BR'],6.4,1322.0
tm151860,Free to Play,2014,75,"['documentation', 'action']","['US', 'CN', 'DE', 'SG', 'UA']",7.6,13341.0
tm147405,E-Team,2014,88,"['documentation', 'war']",['US'],7.1,873.0
tm185736,SampleThis,2013,85,"['documentation', 'music']",['US'],6.4,471.0
tm200926,Heritages,2014,96,"['drama', 'documentation', 'european']","['AE', 'LB']",7.3,131.0
tm163066,Xenos,2013,12,['documentation'],['GB'],7.8,
tm156397,Starting Over Again,2014,130,"['comedy', 'drama', 'documentation', 'european']",['PH'],8.3,15.0
tm460055,The War Against Women,2013,62,"['documentation', 'war']","['US', 'ES']",7.3,74.0
tm199607,The Gift,2015,108,"['drama', 'thriller', 'documentation']","['AU', 'US']",7.0,155102.0
tm244788,13th,2016,100,"['documentation', 'history', 'crime']",['US'],8.2,35302.0
tm225308,Into the Inferno,2016,107,['documentation'],"['CA', 'DE', 'GB']",7.2,8693.0
tm147082,"What Happened, Miss Simone?",2015,101,"['music', 'documentation']",['US'],7.6,13872.0
tm220594,Winter on Fire: Ukraine's Fight for Freedom,2015,98,['documentation'],"['UA', 'GB', 'US']",8.3,18748.0
tm239683,Team Foxcatcher,2016,91,"['documentation', 'crime', 'history', 'sport']",['US'],7.3,6572.0
tm242736,Bo Burnham: Make Happy,2016,60,"['comedy', 'music', 'documentation']",['US'],8.4,14356.0
tm193125,Hot Girls Wanted,2015,84,['documentation'],['US'],6.1,17557.0
tm253080,Rocco,2016,105,"['documentation', 'european']",['FR'],5.7,3998.0
tm244134,Tramps,2016,82,"['comedy', 'romance', 'documentation', 'european']",['US'],6.5,5605.0
tm247642,Amanda Knox,2016,92,"['documentation', 'crime', 'european']","['DK', 'US']",6.9,24488.0
tm208903,For the Love of Spock,2016,105,['documentation'],"['US', 'CA']",7.6,4349.0
tm229542,John Mulaney: The Comeback Kid,2015,62,"['comedy', 'documentation']",['US'],7.9,8595.0
tm214085,Tig,2015,95,['documentation'],['US'],7.4,2691.0
