id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm84618,Taxi Driver,1976,114,"['drama', 'crime']",['US'],8.2,808582.0
tm154986,Deliverance,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7,107673.0
tm119281,Bonnie and Clyde,1967,110,"['crime', 'drama', 'action']",['US'],7.7,112048.0
tm98978,The Blue Lagoon,1980,104,"['romance', 'action', 'drama']",['US'],5.8,69844.0
tm44204,The Guns of Navarone,1961,158,"['action', 'drama', 'war']","['GB', 'US']",7.5,50748.0
tm135083,Cairo Station,1958,77,"['drama', 'crime', 'comedy']",['EG'],7.5,4471.0
tm14350,Alexandria… Why?,1979,133,['drama'],['EG'],7.2,1727.0
tm81728,The Land,1969,129,['drama'],['EG'],8.1,1958.0
tm94651,Dostana,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1,25.0
tm27298,Saladin the Victorious,1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6,2508.0
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm19608,The Blazing Sun,1954,100,"['crime', 'romance', 'drama']",['EG'],7.4,1219.0
tm204541,Dark Waters,1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7,610.0
tm356209,Singapore,1960,158,"['drama', 'thriller', 'crime']",['IN'],6.4,84.0
tm200475,"Beirut, Oh Beirut",1975,110,['drama'],['LB'],6.4,108.0
tm90896,The Return of the Prodigal Son,1976,124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2,780.0
tm107372,Manoranjan,1974,162,"['romance', 'drama', 'comedy']",['IN'],6.5,237.0
tm358653,Ujala,1959,142,"['romance', 'crime', 'drama']",['IN'],6.6,78.0
tm16812,Bandie,1978,141,"['drama', 'action', 'romance']",['IN'],4.4,35.0
tm155787,GoodFellas,1990,145,"['drama', 'crime']",['US'],8.7,1131681.0
tm22327,Full Metal Jacket,1987,117,"['war', 'drama']","['US', 'GB']",8.3,729274.0
tm180542,Once Upon a Time in America,1984,139,"['crime', 'drama', 'european']","['US', 'IT']",8.3,345714.0
tm138875,When Harry Met Sally...,1989,96,"['comedy', 'romance', 'drama']",['US'],7.7,216199.0
tm133087,Steel Magnolias,1989,119,"['comedy', 'drama', 'romance']",['US'],7.3,54946.0
tm145608,Awakenings,1990,120,"['drama', 'european']",['US'],7.8,139240.0
tm142895,Lean On Me,1989,105,['drama'],['US'],7.4,20680.0
tm130586,Endless Love,1981,116,"['romance', 'drama']",['US'],4.9,8524.0
tm721687,Vaashi,1983,123,"['drama', 'thriller']",['IN'],6.7,388.0
tm40103,Mobile Suit Gundam: Char's Counterattack,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],7.3,1693.0
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],7.2,1274.0
tm49037,Mobile Suit Gundam III: Encounters in Space,1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],7.6,1236.0
tm52815,Disco Dancer,1982,106,"['drama', 'romance']",['IN'],6.4,1476.0
tm159912,Agneepath,1990,174,"['drama', 'action', 'crime']",['IN'],7.6,8947.0
