id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm154986,Deliverance,1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7,107673.0
tm67378,The Professionals,1966,117,"['western', 'action', 'european']",['US'],7.3,16446.0
tm89386,Hitler: A Career,1977,150,"['history', 'documentation', 'european']",['DE'],7.5,2460.0
tm180542,Once Upon a Time in America,1984,139,"['crime', 'drama', 'european']","['US', 'IT']",8.3,345714.0
tm54450,Christine,1983,110,"['horror', 'thriller', 'european']",['US'],6.7,81922.0
tm145608,Awakenings,1990,120,"['drama', 'european']",['US'],7.8,139240.0
tm147710,National Lampoon's Christmas Vacation,1989,97,"['comedy', 'european']",['US'],7.5,185760.0
tm52274,The Little Wars,1982,108,"['war', 'drama', 'european']","['FR', 'LB']",6.3,152.0
tm116655,Léon: The Professional,1994,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",8.5,1137357.0
tm53991,Big Daddy,1999,93,"['drama', 'comedy', 'european']",['US'],6.4,215053.0
tm44402,"Girl, Interrupted",1999,127,"['drama', 'european']","['DE', 'US']",7.3,183154.0
tm6859,My Girl,1991,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],6.9,80590.0
tm192431,The Devil's Own,1997,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],6.2,65323.0
tm56033,Croupier,1998,94,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",7.0,21599.0
tm188606,Sankofa,1993,124,"['drama', 'european']","['DE', 'GH', 'GB', 'US', 'BF']",7.0,692.0
tm52083,West Beirut,1998,105,"['romance', 'drama', 'comedy', 'war', 'european']","['FR', 'NO', 'LB', 'BE']",7.6,4221.0
tm7032,Out of Life,1991,97,"['drama', 'war', 'crime', 'european']","['BE', 'FR', 'IT', 'LB']",6.9,376.0
tm44776,The Other,1999,106,"['romance', 'european', 'drama']","['FR', 'EG']",5.9,997.0
tm150112,Old School,2003,88,"['comedy', 'european']",['US'],7.0,229171.0
tm39030,Casino Royale,2006,144,"['action', 'thriller', 'european']","['DE', 'GB', 'US', 'BS', 'CZ']",8.0,649676.0
tm95477,Troy,2004,163,"['action', 'history', 'war', 'drama', 'european']","['MT', 'GB', 'US']",7.3,527447.0
tm93055,Grown Ups,2010,102,"['comedy', 'drama', 'european']",['US'],5.9,249934.0
tm131038,Public Enemies,2009,140,"['action', 'crime', 'drama', 'history', 'european']","['US', 'JP']",7.0,300773.0
tm20959,The Pursuit of Happyness,2006,117,"['drama', 'european']",['US'],8.0,501457.0
tm136308,Monster,2003,110,"['crime', 'drama', 'thriller', 'european']",['US'],7.3,150339.0
tm29737,Rambo,2008,92,"['action', 'thriller', 'war', 'european']","['DE', 'US']",7.0,230333.0
tm39828,Semi-Pro,2008,94,"['comedy', 'sport', 'european']",['US'],5.8,82159.0
tm95252,The Book of Eli,2010,118,"['scifi', 'action', 'thriller', 'drama', 'european']",['US'],6.8,314920.0
tm94606,Let Me In,2010,116,"['drama', 'horror', 'thriller', 'fantasy', 'european']","['GB', 'US']",7.1,121008.0
tm74780,The Bucket List,2007,97,"['drama', 'comedy', 'european']",['US'],7.4,244028.0
tm78919,Mr. Bean's Holiday,2007,90,"['family', 'comedy', 'european']","['US', 'FR', 'DE', 'GB']",6.4,125160.0
tm173066,The Interpreter,2005,128,"['thriller', 'crime', 'european']","['GB', 'US', 'FR', 'DE']",6.4,106781.0
tm161263,The Cave,2005,97,"['horror', 'thriller', 'action', 'scifi', 'european']","['DE', 'US']",5.1,38734.0
tm118462,Half Past Dead,2002,98,"['thriller', 'action', 'crime', 'european']","['DE', 'US']",4.6,15740.0
tm160800,Chaos,2005,106,"['crime', 'drama', 'action', 'thriller', 'european']","['CA', 'GB', 'US']",6.4,54900.0
tm100688,Even the Rain,2010,104,"['drama', 'european', 'history']","['FR', 'MX', 'ES']",7.4,13533.0
tm38896,From Within,2008,89,"['horror', 'thriller', 'documentation', 'war', 'european']",['US'],5.6,7650.0
tm82765,Swades,2004,189,"['drama', 'european']","['IN', 'US']",8.1,89556.0
tm72587,Guru,2007,166,"['romance', 'documentation', 'drama', 'european']",['IN'],7.7,23708.0
tm30170,Don,2006,167,"['thriller', 'crime', 'action', 'european']",['IN'],7.1,37131.0
tm48083,Te quiero,2001,85,"['drama', 'comedy', 'european']",['FR'],5.0,75.0
tm160596,Zozo,2005,105,"['drama', 'european', 'family', 'war']","['CZ', 'GB', 'DK', 'NL', 'SE']",6.5,3225.0
tm68191,My Führer,2007,89,"['war', 'comedy', 'drama', 'european']",['DE'],5.5,4442.0
tm29028,Salt of This Sea,2008,109,"['drama', 'romance', 'european']","['BE', 'FR', 'ES', 'CH', 'PS']",6.8,1235.0
tm76029,Under the Bombs,2007,98,"['war', 'romance', 'drama', 'history', 'european']","['LB', 'GB', 'FR']",7.0,1655.0
tm21155,Falafel,2006,80,"['drama', 'european']","['LB', 'FR']",6.7,217.0
tm85563,Ezra,2007,105,"['drama', 'european']","['GB', 'US', 'AT', 'FR', 'DE', 'NG']",6.4,274.0
tm167232,Unknown,2011,113,"['thriller', 'action', 'european']","['GB', 'FR', 'DE']",6.8,260783.0
tm38980,Rise of the Guardians,2012,97,"['fantasy', 'action', 'family', 'animation', 'thriller', 'scifi', 'comedy', 'drama', 'european']",['US'],7.2,173157.0
tm183037,Don 2,2011,139,"['action', 'thriller', 'crime', 'european']","['IN', 'DE']",7.0,52750.0
tm177958,Pyaar Ka Punchnama,2011,149,"['romance', 'drama', 'comedy', 'european']",['IN'],7.6,21521.0
tm172883,Game,2011,135,"['thriller', 'action', 'crime', 'drama', 'european']",['IN'],5.2,2353.0
tm172504,"Darling, Something's Wrong with Your Head",2011,78,"['drama', 'romance', 'war', 'european']","['PS', 'NL', 'US', 'AE']",6.7,133.0
tm140389,Paddington,2014,95,"['comedy', 'family', 'fantasy', 'animation', 'european']","['US', 'FR', 'GB']",7.2,113735.0
tm176864,Rush,2013,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",8.1,471586.0
tm163686,Blue Jasmine,2013,99,"['drama', 'comedy', 'european']",['US'],7.3,201749.0
tm168400,Empire State,2013,94,"['action', 'drama', 'crime', 'thriller', 'european']",['US'],5.2,21538.0
tm171042,The Call,2013,94,"['thriller', 'crime', 'drama', 'horror', 'action', 'european']",['US'],6.7,121843.0
tm187279,Philomena,2013,97,"['drama', 'comedy', 'european']",['GB'],7.6,99647.0
tm176630,The Butler,2013,132,"['drama', 'european']",['US'],7.2,114768.0
tm181081,The Railway Man,2013,116,"['drama', 'history', 'european', 'romance', 'war']","['AU', 'CH', 'GB']",7.1,40175.0
tm143642,Who Am I,2014,105,"['thriller', 'european', 'scifi', 'crime', 'drama']",['DE'],7.5,55044.0
tm185208,Elena,2013,82,"['documentation', 'european', 'drama', 'family']","['US', 'BR']",7.6,1823.0
tm35895,Buddies,2013,94,"['drama', 'comedy', 'action', 'documentation', 'european']",['BR'],6.5,1082.0
tm2269,Selfie,2014,123,"['comedy', 'documentation', 'drama', 'european']",['RO'],6.0,1671.0
tm157609,Born in Gaza,2014,69,"['documentation', 'european']",['ES'],7.4,511.0
tm587320,El Mago Pop,2013,44,"['reality', 'european']",['ES'],6.8,21.0
tm181051,Giraffada,2014,85,"['drama', 'european']","['DE', 'IT', 'PS', 'FR']",6.3,243.0
tm200926,Heritages,2014,96,"['drama', 'documentation', 'european']","['AE', 'LB']",7.3,131.0
tm144541,Refugiado,2014,95,"['thriller', 'drama', 'european']",['AR'],6.4,373.0
tm156397,Starting Over Again,2014,130,"['comedy', 'drama', 'documentation', 'european']",['PH'],8.3,15.0
tm195209,Legend,2015,131,"['thriller', 'crime', 'drama', 'european']","['GB', 'US', 'FR']",6.9,178601.0
tm242705,Raw,2016,99,"['horror', 'drama', 'fantasy', 'european']","['FR', 'BE']",7.0,72460.0
tm196296,A Monster Calls,2016,108,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']","['US', 'GB', 'ES']",7.4,87806.0
tm199700,The Danish Girl,2015,119,"['drama', 'romance', 'european']","['BE', 'DK', 'DE', 'GB', 'US']",7.1,183579.0
tm206512,Circle,2015,87,"['thriller', 'drama', 'horror', 'scifi', 'european']",['US'],6.0,52925.0
tm205812,The Siege of Jadotville,2016,108,"['war', 'drama', 'thriller', 'action', 'history', 'european']","['IE', 'ZA']",7.2,39404.0
tm135543,By the Sea,2015,122,"['drama', 'romance', 'european']","['US', 'FR', 'MT']",5.3,20541.0
tm244507,The Distinguished Citizen,2016,118,"['drama', 'comedy', 'european']","['ES', 'AR']",7.5,11876.0
tm253080,Rocco,2016,105,"['documentation', 'european']",['FR'],5.7,3998.0
tm244134,Tramps,2016,82,"['comedy', 'romance', 'documentation', 'european']",['US'],6.5,5605.0
tm247642,Amanda Knox,2016,92,"['documentation', 'crime', 'european']","['DK', 'US']",6.9,24488.0
tm205870,Message from the King,2016,102,"['thriller', 'action', 'crime', 'drama', 'european']",['FR'],6.4,16513.0
tm271070,The Warriors Gate,2016,108,"['action', 'family', 'fantasy', 'comedy', 'european']","['CN', 'FR', 'CA']",5.4,5098.0
tm244513,Divines,2016,105,"['drama', 'crime', 'european']","['FR', 'QA']",7.4,9821.0
tm246175,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,108,"['action', 'comedy', 'crime', 'european']",['SE'],6.3,6023.0
tm217939,Un + une,2015,115,"['comedy', 'romance', 'drama', 'european']",['FR'],6.2,2336.0
tm275800,The Lighthouse of the Orcas,2016,110,"['drama', 'romance', 'european']","['AR', 'ES']",6.7,3910.0
tm242646,Toro,2016,105,"['drama', 'crime', 'thriller', 'action', 'european']","['FR', 'ES']",5.9,3256.0
tm242687,Riphagen the Untouchable,2016,132,"['thriller', 'drama', 'war', 'european']",['NL'],7.1,7800.0
tm267948,7 Years,2016,77,"['drama', 'european']",['ES'],6.7,4961.0
tm211461,Much Loved,2015,108,"['drama', 'european']","['FR', 'MA']",6.2,2772.0
tm245102,The Next Skin,2016,100,"['drama', 'thriller', 'european']",['ES'],6.2,1820.0
tm201906,Belgica,2016,127,"['drama', 'european']","['FR', 'BE']",6.7,4519.0
tm242422,In the Shadow of Iris,2016,99,"['thriller', 'drama', 'crime', 'european']",['FR'],6.1,4275.0
tm193211,Mucize,2015,136,"['drama', 'comedy', 'romance', 'documentation', 'european']",['TR'],7.6,12593.0
tm270555,The Ivory Game,2016,112,"['documentation', 'european']","['AT', 'US']",7.9,3243.0
tm236999,Our Lovers,2016,88,"['romance', 'comedy', 'drama', 'european']",['ES'],6.7,4228.0
tm270982,Layla M.,2016,98,"['drama', 'european']",['NL'],6.6,1722.0
tm311494,Slam,2016,100,"['comedy', 'romance', 'drama', 'european']",['IT'],6.1,1329.0
tm245155,The Worthy,2016,95,"['thriller', 'action', 'scifi', 'fantasy', 'family', 'european']",['AE'],5.1,2004.0
tm232832,The Lion Woman,2016,126,"['drama', 'european']","['SE', 'NO']",6.6,1410.0
tm247644,Schubert in Love,2016,94,"['comedy', 'european']",['DE'],5.0,371.0
tm283938,Selfie 69,2016,116,"['comedy', 'action', 'romance', 'european']",['RO'],6.1,1700.0
tm246543,Journey to Greenland,2016,98,"['drama', 'comedy', 'european']","['GL', 'FR']",6.3,1343.0
tm234064,Halal Love,2016,95,"['romance', 'drama', 'comedy', 'european']","['LB', 'DE']",6.3,382.0
tm240733,100 Meters,2016,108,"['drama', 'comedy', 'european']",['ES'],7.5,6248.0
tm149212,Olmo and the Seagull,2015,90,"['drama', 'european', 'romance', 'family', 'documentation']","['PT', 'SE', 'DK', 'BR', 'FR']",7.2,676.0
tm307997,Offline: Are You Ready for the Next Level?,2016,88,"['action', 'comedy', 'european']",['DE'],5.0,783.0
tm219699,Phantom,2015,136,"['thriller', 'action', 'drama', 'crime', 'horror', 'european']",['IN'],5.9,9281.0
tm234136,MindGamers,2015,97,"['action', 'scifi', 'thriller', 'european']",['AT'],3.6,1111.0
tm267017,I Love You,2016,98,"['comedy', 'drama', 'romance', 'european']",['SE'],4.7,1008.0
tm271974,Pettson and Findus: The Best Christmas Ever,2016,82,"['family', 'animation', 'comedy', 'fantasy', 'european']",['DE'],5.5,356.0
tm327551,Born in Syria,2016,86,"['documentation', 'european']","['ES', 'DK']",7.7,280.0
tm282988,Dieter Nuhr: Nuhr in Berlin,2016,68,"['comedy', 'european']",['DE'],4.7,70.0
tm368725,Love Is a Story,2015,107,"['romance', 'european', 'comedy']",['RO'],6.0,365.0
tm267112,Gang of the Caribbean,2016,90,"['thriller', 'european']",['FR'],5.1,299.0
tm232797,Dunkirk,2017,107,"['drama', 'war', 'action', 'thriller', 'history', 'european']","['FR', 'NL', 'GB', 'US']",7.8,619645.0
tm288499,Roma,2018,135,"['drama', 'european']","['US', 'MX']",7.7,155787.0
tm370212,Adrift,2018,96,"['action', 'thriller', 'romance', 'drama', 'european']","['HK', 'IS', 'US']",6.6,55597.0
tm350379,Ghostland,2018,91,"['thriller', 'horror', 'drama', 'european']","['CA', 'FR']",6.4,31379.0
tm233482,The Foreigner,2017,113,"['action', 'thriller', 'crime', 'drama', 'european']","['IN', 'CN', 'US', 'GB']",7.0,113338.0
tm435086,Level 16,2018,102,"['scifi', 'thriller', 'drama', 'european']",['CA'],6.0,11823.0
tm273294,I Don't Feel at Home in This World Anymore,2017,93,"['drama', 'thriller', 'crime', 'comedy', 'european']",['US'],6.9,55549.0
tm362098,The Kindergarten Teacher,2018,96,"['drama', 'thriller', 'european']",['US'],6.7,15974.0
tm346943,Kodachrome,2017,105,"['drama', 'comedy', 'european']",['US'],6.8,16821.0
tm243326,Anon,2018,100,"['scifi', 'thriller', 'action', 'drama', 'crime', 'european']","['US', 'GB']",6.1,42608.0
tm410742,Happy as Lazzaro,2018,125,"['fantasy', 'drama', 'european']","['IT', 'CH', 'FR']",7.5,18006.0
tm244229,Everybody Knows,2018,132,"['drama', 'thriller', 'crime', 'european']","['IT', 'ES', 'FR']",6.9,34365.0
tm348993,22 July,2018,143,"['thriller', 'crime', 'drama', 'history', 'european']","['US', 'IS', 'NO']",6.8,33609.0
tm423436,Ben Is Back,2018,103,"['drama', 'european']",['US'],6.7,21735.0
tm433381,Mirage,2018,129,"['fantasy', 'thriller', 'drama', 'romance', 'european']",['ES'],7.4,54188.0
