id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm100027,Alibaba Aur 40 Chor,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565.0
tm311264,Muqaddar Ka Faisla,1987,172,"['action', 'comedy', 'drama', 'family']",['IN'],4.8,69.0
tm419052,Ek Jaan Hain Hum,1983,151,"['family', 'romance']",['IN'],6.3,70.0
tm187187,Last Action Hero,1993,131,"['action', 'fantasy', 'comedy', 'family']",['US'],6.4,150498.0
tm6859,My Girl,1991,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],6.9,80590.0
tm113576,Little Women,1994,115,"['drama', 'romance', 'family']",['US'],7.3,58178.0
tm1822,3 Ninjas Kick Back,1994,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",4.5,9321.0
tm117488,The Next Karate Kid,1994,107,"['action', 'drama', 'family', 'sport', 'romance']",['US'],4.5,30422.0
tm62385,Hum Saath Saath Hain,1999,177,"['romance', 'family', 'fantasy', 'drama']",['IN'],6.2,8552.0
tm150260,Cloudy with a Chance of Meatballs,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],6.9,229274.0
tm78919,Mr. Bean's Holiday,2007,90,"['family', 'comedy', 'european']","['US', 'FR', 'DE', 'GB']",6.4,125160.0
tm148379,The Cat in the Hat,2003,82,"['family', 'fantasy', 'comedy', 'action']",['US'],4.0,82684.0
tm81030,The Golden Compass,2007,113,"['action', 'fantasy', 'family']","['GB', 'US']",6.1,187485.0
tm27268,Monster House,2006,91,"['animation', 'comedy', 'family', 'fantasy']",['US'],6.6,117008.0
tm89684,New York Minute,2004,87,"['comedy', 'crime', 'family', 'romance']",['US'],4.9,23476.0
tm183963,Dreamer: Inspired By a True Story,2005,106,"['family', 'drama', 'sport', 'fantasy']",['US'],6.8,13205.0
tm22294,Deck the Halls,2006,93,"['family', 'comedy']",['US'],5.0,27936.0
tm83786,Like Stars on Earth,2007,165,"['drama', 'family']",['IN'],8.3,189685.0
tm114476,Stuart Little 2,2002,78,"['animation', 'comedy', 'family', 'action', 'fantasy']",['US'],5.5,54193.0
tm86995,Christmas with the Kranks,2004,99,"['comedy', 'family']",['US'],5.4,49302.0
tm97544,Alpha and Omega,2010,88,"['animation', 'family', 'comedy', 'action', 'romance']","['CA', 'US', 'IN']",5.1,14362.0
tm80059,Naruto Shippuden the Movie,2007,94,"['animation', 'action', 'fantasy', 'family']",['JP'],6.7,4090.0
tm71558,The Legend of the Nahuala,2007,80,"['fantasy', 'animation', 'family']",['MX'],6.1,511.0
tm95238,The Boy Who Cried Werewolf,2010,97,"['fantasy', 'horror', 'family', 'comedy']","['US', 'CA']",5.9,3315.0
tm166293,The Blue Umbrella,2005,90,"['drama', 'family', 'fantasy', 'comedy']",['IN'],7.3,2097.0
tm160596,Zozo,2005,105,"['drama', 'european', 'family', 'war']","['CZ', 'GB', 'DK', 'NL', 'SE']",6.5,3225.0
tm22558,Mukhsin,2006,95,"['comedy', 'drama', 'family']",['MY'],7.3,388.0
tm98475,We Are Family,2010,115,"['drama', 'family', 'comedy']",['IN'],5.6,3166.0
tm46867,Kuselan,2008,160,"['drama', 'family', 'comedy']",['IN'],4.8,1034.0
tm639940,Tango with Me,2010,104,"['drama', 'family', 'romance']",['US'],6.3,46.0
tm87672,Rabun,2003,90,"['drama', 'family']",['MY'],7.6,85.0
tm171885,Kung Fu Panda 2,2011,90,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action']",['US'],7.2,280433.0
tm168921,The Smurfs,2011,103,"['animation', 'family', 'action', 'comedy', 'fantasy']",['US'],5.4,90097.0
tm160132,Soul Surfer,2011,106,"['drama', 'family', 'sport']",['US'],7.0,49599.0
tm38980,Rise of the Guardians,2012,97,"['fantasy', 'action', 'family', 'animation', 'thriller', 'scifi', 'comedy', 'drama', 'european']",['US'],7.2,173157.0
tm174683,Arthur Christmas,2011,97,"['drama', 'animation', 'family', 'comedy', 'fantasy']","['GB', 'US']",7.1,58635.0
tm170758,Hop,2011,101,"['animation', 'comedy', 'family', 'fantasy']",['US'],5.4,34363.0
tm183547,Escape from Planet Earth,2012,89,"['scifi', 'comedy', 'family', 'animation']","['CA', 'US']",5.8,25734.0
tm44165,"Chaos, Disorder",2012,76,"['drama', 'family', 'fantasy']",['EG'],6.2,109.0
tm160361,A Princess for Christmas,2011,89,"['family', 'romance', 'comedy', 'drama']",['US'],6.3,8268.0
tm183176,A Second Chance,2011,90,"['drama', 'family', 'sport']",['AU'],4.7,1030.0
tm40860,Big Time Movie,2012,68,"['comedy', 'music', 'family']",['US'],6.1,1962.0
tm53395,FRED 3: Camp Fred,2012,81,"['comedy', 'family']",['US'],2.0,2654.0
tm178106,Chillar Party,2011,130,"['comedy', 'drama', 'family']",['IN'],7.5,7831.0
tm44615,Ferrari Ki Sawaari,2012,140,"['family', 'comedy', 'drama', 'sport']",['IN'],6.4,5465.0
tm169128,An Elf's Story,2011,24,"['scifi', 'animation', 'family', 'fantasy']",['US'],5.1,510.0
tm182026,Zokkomon,2011,109,"['fantasy', 'drama', 'family', 'action']",['IN'],4.0,411.0
tm140389,Paddington,2014,95,"['comedy', 'family', 'fantasy', 'animation', 'european']","['US', 'FR', 'GB']",7.2,113735.0
tm134967,How to Train Your Dragon 2,2014,102,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],7.8,330975.0
tm161282,Penguins of Madagascar,2014,92,"['family', 'animation', 'action', 'comedy', 'scifi']",['US'],6.6,89930.0
tm187979,Cloudy with a Chance of Meatballs 2,2013,95,"['animation', 'scifi', 'drama', 'comedy', 'family', 'fantasy']",['US'],6.3,102071.0
tm161029,Mr. Peabody & Sherman,2014,92,"['action', 'family', 'animation', 'romance', 'comedy', 'fantasy', 'history', 'scifi']",['US'],6.8,69669.0
tm237143,Shrek the Musical,2013,130,"['music', 'comedy', 'fantasy', 'family']",['US'],6.9,3695.0
tm166628,The Smurfs 2,2013,105,"['comedy', 'animation', 'fantasy', 'family']",['US'],5.3,42011.0
tm185208,Elena,2013,82,"['documentation', 'european', 'drama', 'family']","['US', 'BR']",7.6,1823.0
tm154797,The Nut Job,2014,85,"['comedy', 'crime', 'family', 'animation']","['CA', 'KR']",5.7,28484.0
tm143372,Stand by Me Doraemon,2014,90,"['scifi', 'fantasy', 'drama', 'family', 'animation', 'comedy']",['JP'],7.3,7989.0
tm180643,Jinxed,2013,70,"['comedy', 'family']","['CA', 'US']",6.3,1488.0
tm174289,Free Birds,2013,91,"['animation', 'comedy', 'family', 'scifi']",['US'],5.8,24140.0
tm183706,Birth Reborn,2013,91,"['documentation', 'family', 'history']",['BR'],7.8,252.0
tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,2014,22,"['action', 'animation', 'family', 'comedy', 'scifi']",['US'],6.5,1340.0
tm145791,Miss Granny,2014,124,"['drama', 'comedy', 'music', 'family', 'fantasy']",['KR'],7.2,3508.0
tm153055,Mitt,2014,93,"['documentation', 'family']",['US'],6.9,2579.0
tm202914,My Own Man,2014,82,"['documentation', 'drama', 'comedy', 'family']",['US'],6.4,447.0
tm182580,Ghadi,2013,100,"['drama', 'family', 'comedy']",['LB'],7.3,1128.0
tm158671,A Fairly Odd Summer,2014,66,"['fantasy', 'comedy', 'family', 'animation']",['US'],3.8,564.0
tm144557,Deliha,2014,107,"['family', 'comedy', 'romance']",['TR'],4.5,4315.0
tm242276,Na Bangaaru Talli,2014,116,"['thriller', 'crime', 'drama', 'family']",['IN'],7.2,160.0
tm140391,Pan,2015,111,"['action', 'fantasy', 'family', 'comedy']","['US', 'GB']",5.7,63788.0
tm233425,A Silent Voice: The Movie,2016,130,"['animation', 'drama', 'romance', 'family']",['JP'],8.1,77667.0
tm120108,Kung Fu Panda 3,2016,95,"['action', 'animation', 'family', 'fantasy', 'drama', 'comedy']","['US', 'CN']",7.1,155678.0
tm132273,Home,2015,94,"['family', 'fantasy', 'comedy', 'animation', 'scifi']",['US'],6.6,101975.0
tm196296,A Monster Calls,2016,108,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']","['US', 'GB', 'ES']",7.4,87806.0
tm136321,Advantageous,2015,92,"['drama', 'scifi', 'family']",['US'],6.2,5378.0
tm142881,Jem and the Holograms,2015,118,"['fantasy', 'music', 'romance', 'scifi', 'drama', 'family']",['US'],4.1,7867.0
tm233317,Pee-wee's Big Holiday,2016,90,"['action', 'comedy', 'family']",['US'],6.1,8064.0
tm139194,Ratchet & Clank,2016,94,"['animation', 'family', 'action', 'comedy', 'scifi', 'fantasy']","['CA', 'US']",5.5,10919.0
tm233616,LEGO Marvel Super Heroes: Avengers Reassembled!,2015,22,"['family', 'animation', 'action', 'comedy', 'scifi']",['US'],6.1,862.0
