id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm89386,Hitler: A Career,1977,150,"['history', 'documentation', 'european']",['DE'],7.5,2460.0
tm27298,Saladin the Victorious,1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6,2508.0
tm191772,Seven Years in Tibet,1997,136,"['action', 'drama', 'history', 'war']",['US'],7.1,142903.0
tm190811,Geronimo: An American Legend,1993,115,"['western', 'history', 'drama']",['US'],6.5,11709.0
tm63514,The Last Days,1998,87,"['drama', 'history', 'war', 'documentation']",['US'],7.9,4378.0
tm191614,Destiny,1997,136,"['drama', 'history', 'comedy', 'romance']","['FR', 'EG']",7.1,2857.0
tm203186,Children of Shatila,1999,50,"['documentation', 'history']",['LB'],8.1,78.0
tm95477,Troy,2004,163,"['action', 'history', 'war', 'drama', 'european']","['MT', 'GB', 'US']",7.3,527447.0
tm131038,Public Enemies,2009,140,"['action', 'crime', 'drama', 'history', 'european']","['US', 'JP']",7.0,300773.0
tm30205,Ip Man,2008,106,"['drama', 'fantasy', 'comedy', 'history', 'action']",['HK'],8.0,222372.0
tm40009,21,2008,123,"['crime', 'drama', 'history', 'thriller']",['US'],6.8,249016.0
tm700,"10,000 BC",2008,109,"['action', 'drama', 'fantasy', 'history', 'thriller']","['US', 'ZA']",5.1,130813.0
tm103095,Ip Man 2,2010,108,"['drama', 'action', 'history', 'sport']","['HK', 'CN']",7.5,104500.0
tm100688,Even the Rain,2010,104,"['drama', 'european', 'history']","['FR', 'MX', 'ES']",7.4,13533.0
tm86051,Black Friday,2004,161,"['crime', 'history', 'action', 'drama']",['IN'],8.4,20768.0
tm29269,Jodhaa Akbar,2008,214,"['romance', 'history', 'war', 'action', 'drama']",['IN'],7.5,32440.0
tm32885,Rang De Basanti,2006,157,"['drama', 'history', 'comedy', 'crime']",['IN'],8.1,118477.0
tm84316,Shootout at Lokhandwala,2007,145,"['action', 'crime', 'drama', 'history']",['IN'],7.1,10213.0
tm114504,The Legend of Bhagat Singh,2002,155,"['crime', 'drama', 'history', 'action']",['IN'],8.1,16340.0
tm143510,Harishchandrachi Factory,2009,96,"['comedy', 'drama', 'history']",['IN'],8.4,2498.0
tm76029,Under the Bombs,2007,98,"['war', 'romance', 'drama', 'history', 'european']","['LB', 'GB', 'FR']",7.0,1655.0
tm254745,Frontiers of Dreams and Fears,2001,56,"['documentation', 'history']",['PS'],8.2,55.0
