id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm19494,The Replacements,2000,118,"['comedy', 'sport']",['US'],6.6,64771.0
tm1822,3 Ninjas Kick Back,1994,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",4.5,9321.0
tm117488,The Next Karate Kid,1994,107,"['action', 'drama', 'family', 'sport', 'romance']",['US'],4.5,30422.0
tm424630,A Triumph of the Heart: The Ricky Bell Story,1991,100,"['drama', 'sport']",['US'],7.2,250.0
tm133374,The Blind Side,2009,129,"['drama', 'sport']",['US'],7.6,327675.0
tm39828,Semi-Pro,2008,94,"['comedy', 'sport', 'european']",['US'],5.8,82159.0
tm32144,We Are Marshall,2006,131,"['drama', 'sport']",['US'],7.0,61345.0
tm141707,Blood and Bone,2009,93,"['thriller', 'sport', 'action', 'crime', 'drama']",['US'],6.7,33051.0
tm43399,Lagaan: Once Upon a Time in India,2001,224,"['romance', 'drama', 'action', 'sport']",['IN'],8.1,111053.0
tm103095,Ip Man 2,2010,108,"['drama', 'action', 'history', 'sport']","['HK', 'CN']",7.5,104500.0
tm183963,Dreamer: Inspired By a True Story,2005,106,"['family', 'drama', 'sport', 'fantasy']",['US'],6.8,13205.0
tm152724,Kurbaan,2009,161,"['thriller', 'action', 'drama', 'crime', 'romance', 'sport']",['IN'],5.7,5162.0
tm75544,Dhan Dhana Dhan Goal,2007,167,"['drama', 'sport', 'thriller']",['IN'],5.0,2635.0
tm85369,Hattrick,2007,110,"['drama', 'comedy', 'romance', 'sport']",['IN'],4.3,495.0
tm160132,Soul Surfer,2011,106,"['drama', 'family', 'sport']",['US'],7.0,49599.0
tm69926,Here Comes the Boom,2012,105,"['action', 'comedy', 'sport']",['US'],6.4,90126.0
tm174190,Undefeated,2011,113,"['documentation', 'sport']",['US'],7.7,7073.0
tm183176,A Second Chance,2011,90,"['drama', 'family', 'sport']",['AU'],4.7,1030.0
tm35700,Paan Singh Tomar,2012,135,"['drama', 'crime', 'sport', 'thriller', 'action']",['IN'],8.2,36077.0
tm44615,Ferrari Ki Sawaari,2012,140,"['family', 'comedy', 'drama', 'sport']",['IN'],6.4,5465.0
tm176864,Rush,2013,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",8.1,471586.0
tm169719,42,2013,128,"['drama', 'sport']",['US'],7.5,94520.0
tm148976,The Battered Bastards of Baseball,2014,80,"['documentation', 'sport']",['US'],8.0,4043.0
tm171929,The Short Game,2013,100,"['documentation', 'sport']",['US'],7.3,1570.0
tm151927,Mary Kom,2014,122,"['history', 'action', 'drama', 'sport']",['IN'],6.8,10769.0
tm182322,Kai Po Che!,2013,126,"['drama', 'sport']",['IN'],7.7,36784.0
tm239683,Team Foxcatcher,2016,91,"['documentation', 'crime', 'history', 'sport']",['US'],7.3,6572.0
tm201365,Brothers,2015,156,"['family', 'action', 'drama', 'sport']",['IN'],6.4,13003.0
tm232710,A Second Chance,2015,130,"['drama', 'romance', 'family', 'documentation', 'sport']",['PH'],8.6,47.0
tm245042,Budhia Singh: Born to Run,2016,112,"['drama', 'sport']",['IN'],7.6,1503.0
tm227523,Fifty,2015,101,"['drama', 'romance', 'sport', 'thriller']",['NG'],6.0,265.0
tm290157,XV Beyond the Tryline,2016,91,"['documentation', 'sport']",['GB'],6.8,76.0
