id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm67378,The Professionals,1966,117,"['western', 'action', 'european']",['US'],7.3,16446.0
tm11556,The Quick and the Dead,1995,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",6.5,93767.0
tm118238,Wyatt Earp,1994,191,"['western', 'crime', 'action', 'drama']",['US'],6.7,50774.0
tm190811,Geronimo: An American Legend,1993,115,"['western', 'history', 'drama']",['US'],6.5,11709.0
tm41792,Django Unchained,2012,165,"['western', 'drama']",['US'],8.4,1472668.0
tm243100,Hell or High Water,2016,102,"['thriller', 'western', 'action', 'crime', 'drama']",['US'],7.6,227350.0
tm138905,The Hateful Eight,2015,188,"['thriller', 'western', 'drama', 'crime']",['US'],7.8,570138.0
tm135106,In a Valley of Violence,2016,104,"['crime', 'thriller', 'western', 'action', 'drama']",['US'],6.0,18987.0
tm214825,The Ridiculous 6,2015,119,"['western', 'comedy', 'action']",['US'],4.8,47935.0
tm218186,Septembers of Shiraz,2015,110,"['drama', 'thriller', 'western']",['US'],7.9,38.0
tm244259,Wind River,2017,107,"['thriller', 'crime', 'drama', 'western']","['FR', 'GB', 'US']",7.7,244463.0
tm425889,The Ballad of Buster Scruggs,2018,132,"['western', 'comedy', 'drama', 'romance']",['US'],7.3,144294.0
tm320670,White Fang,2018,87,"['animation', 'family', 'drama', 'western', 'european']","['LU', 'US', 'FR']",6.9,3682.0
tm359713,El Camino Christmas,2017,89,"['comedy', 'drama', 'crime', 'western']",['US'],5.7,8830.0
tm327053,The Killer,2017,99,"['western', 'horror', 'action']",['BR'],6.0,2664.0
tm318641,Justice,2017,99,"['western', 'drama', 'action', 'european']",['US'],4.0,1237.0
tm356563,The Stolen,2017,98,"['western', 'drama', 'thriller', 'action']","['DE', 'NZ', 'GB']",5.3,1330.0
tm370440,Paradox,2018,73,"['western', 'fantasy', 'music']",['US'],3.9,713.0
tm430459,La Leyenda del Diamante,2018,87,"['action', 'fantasy', 'horror', 'western', 'family', 'scifi']",['MX'],3.3,51.0
tm414584,Rambo: Last Blood,2019,101,"['drama', 'action', 'crime', 'thriller', 'western']","['US', 'CN']",6.1,96740.0
tm432765,The Wind,2019,86,"['western', 'thriller', 'horror']",['US'],5.5,8242.0
tm918734,Concrete Cowboy,2020,111,"['western', 'drama']","['US', 'GB']",6.3,8660.0
tm981956,Spirit Riding Free: Ride Along Adventure,2020,22,"['animation', 'comedy', 'action', 'family', 'western', 'drama']",['US'],6.1,61.0
tm674063,The Power of the Dog,2021,126,"['drama', 'romance', 'western']","['GB', 'AU', 'CA', 'GR', 'NZ']",6.8,164844.0
tm825714,The Harder They Fall,2021,139,"['action', 'drama', 'western']",['US'],6.5,59833.0
tm1195032,Thar,2022,108,"['action', 'thriller', 'drama', 'crime', 'western']",['IN'],6.1,4703.0
tm1111717,L.O.L. Surprise: The Movie,2021,47,"['animation', 'family', 'fantasy', 'scifi', 'western', 'action']",['US'],3.8,129.0
tm1120937,Montford: The Chickasaw Rancher,2021,96,"['western', 'drama', 'history']",['US'],6.6,719.0
