country_name,country_code,region,thirty_total,percentage
Aruba,ABW,Latin America & Caribbean,0,0
Afghanistan,AFG,South Asia,3.506856884,0.014238917063843944
Angola,AGO,Sub-Saharan Africa,27.014433046,0.10968690322771643
Albania,ALB,Europe & Central Asia,37.524492327,0.1523609750214721
Andorra,AND,Europe & Central Asia,203.43718057300003,0.8260174959227656
United Arab Emirates,ARE,Middle East & North Africa,751.6883224999999,3.052085681275119
Argentina,ARG,Latin America & Caribbean,112.0340923,0.4548928574362482
Armenia,ARM,Europe & Central Asia,54.57737866300002,0.22160093612319295
American Samoa,ASM,East Asia & Pacific,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,157.18040669200002,0.6382007732222728
Australia,AUS,East Asia & Pacific,504.8108092400001,2.049687079759457
Austria,AUT,Europe & Central Asia,239.74948405900003,0.9734566115859428
Azerbaijan,AZE,Europe & Central Asia,117.51478686400003,0.4771461622988189
Burundi,BDI,Sub-Saharan Africa,1.048205444,0.00425603635297531
Belgium,BEL,Europe & Central Asia,304.0003831169999,1.2343350144481535
Benin,BEN,Sub-Saharan Africa,10.166727324000004,0.0412800384976167
Burkina Faso,BFA,Sub-Saharan Africa,3.4599613440000003,0.014048506754324121
Bangladesh,BGD,South Asia,8.085507645,0.03282964677044722
Bulgaria,BGR,Europe & Central Asia,186.71037063100002,0.7581015052265172
Bahrain,BHR,Middle East & North Africa,674.46805782,2.7385476668088873
"Bahamas, The",BHS,Latin America & Caribbean,227.212700465,0.9225534160045158
Bosnia and Herzegovina,BIH,Europe & Central Asia,134.80242237,0.5473392771997969
Belarus,BLR,Europe & Central Asia,189.05878474300005,0.7676367884953879
Belize,BLZ,Latin America & Caribbean,58.72984251799999,0.2384612159685778
Bermuda,BMU,North America,0,0
Bolivia,BOL,Latin America & Caribbean,42.364114015,0.17201132692212084
Brazil,BRA,Latin America & Caribbean,55.298636657,0.22452946531554657
Barbados,BRB,Latin America & Caribbean,154.8789061580001,0.6288559735027478
Brunei Darussalam,BRN,East Asia & Pacific,481.85804598,1.956491804544118
Bhutan,BTN,South Asia,17.865604097000002,0.07253984506561735
Botswana,BWA,Sub-Saharan Africa,72.28163821000001,0.2934856727135728
Central African Republic,CAF,Sub-Saharan Africa,1.523002224,0.006183857246792019
Canada,CAN,North America,477.63449970000005,1.9393429082003273
Switzerland,CHE,Europe & Central Asia,172.459698597,0.7002393956770913
Chile,CHL,Latin America & Caribbean,108.327480265,0.4398428730485161
China,CHN,East Asia & Pacific,136.50192149400002,0.5542397661211211
Cote d'Ivoire,CIV,Sub-Saharan Africa,9.895619308,0.04017925660578079
Cameroon,CMR,Sub-Saharan Africa,10.562887277999998,0.042888569702513785
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1.3511517489999998,0.005486091486212669
"Congo, Rep.",COG,Sub-Saharan Africa,34.743000899,0.141067264708461
Colombia,COL,Latin America & Caribbean,45.372791749,0.18422748348149412
Comoros,COM,Sub-Saharan Africa,6.549304011000001,0.02659218774053898
Cabo Verde,CPV,Sub-Saharan Africa,22.139853664999997,0.08989461234642628
Costa Rica,CRI,Latin America & Caribbean,43.11830349,0.17507356805147656
Cuba,CUB,Latin America & Caribbean,71.96451333900002,0.2921980482434517
Curacao,CUW,Latin America & Caribbean,0,0
Cayman Islands,CYM,Latin America & Caribbean,0,0
Cyprus,CYP,Europe & Central Asia,207.55352444899998,0.8427311175490269
Czech Republic,CZE,Europe & Central Asia,339.133560584,1.3769865159748766
Germany,DEU,Europe & Central Asia,298.2267743280001,1.2108923877813138
Djibouti,DJI,Middle East & North Africa,15.507144423999998,0.06296377373077483
Dominica,DMA,Latin America & Caribbean,64.70778908199999,0.26273351682158486
Denmark,DNK,Europe & Central Asia,280.1189431330001,1.137369026229816
Dominican Republic,DOM,Latin America & Caribbean,59.348310571999974,0.24097238640376764
Algeria,DZA,Middle East & North Africa,90.64463997199998,0.3680451052143084
Ecuador,ECU,Latin America & Caribbean,61.92446301100001,0.25143235729396857
"Egypt, Arab Rep.",EGY,Middle East & North Africa,60.937775731000016,0.24742610359939388
Eritrea,ERI,Sub-Saharan Africa,6.746878076000001,0.027394399184734745
Spain,ESP,Europe & Central Asia,188.92274617400003,0.767084430082841
Estonia,EST,Europe & Central Asia,387.7629335989999,1.5744367205687733
Ethiopia,ETH,Sub-Saharan Africa,2.359003494,0.009578279415289674
Finland,FIN,Europe & Central Asia,317.503837776,1.2891631917376607
Fiji,FJI,East Asia & Pacific,38.34136660200001,0.15567773571004795
France,FRA,Europe & Central Asia,168.49265356200002,0.6841319732443089
Faroe Islands,FRO,Europe & Central Asia,0,0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,36.155494501999996,0.14680242298027116
Gabon,GAB,Sub-Saharan Africa,120.26783283799999,0.48832437532358947
United Kingdom,GBR,Europe & Central Asia,244.84477464699998,0.9941450578210119
Georgia,GEO,Europe & Central Asia,61.85161123500001,0.25113655668654983
Ghana,GHA,Sub-Saharan Africa,11.47370672,0.0465867766507203
Gibraltar,GIB,Europe & Central Asia,0,0
Guinea,GIN,Sub-Saharan Africa,6.090866864000001,0.024730791986152603
"Gambia, The",GMB,Sub-Saharan Africa,6.672494053999999,0.027092377187496842
Guinea-Bissau,GNB,Sub-Saharan Africa,4.7532458879999995,0.01929963959809238
Equatorial Guinea,GNQ,Sub-Saharan Africa,181.13116944899997,0.7354482332109266
Greece,GRC,Europe & Central Asia,233.39948284499997,0.9476736544729845
Grenada,GRD,Latin America & Caribbean,74.39027665400002,0.30204739305600725
Greenland,GRL,Europe & Central Asia,0,0
Guatemala,GTM,Latin America & Caribbean,23.945819725000003,0.09722738975909503
Guam,GUM,East Asia & Pacific,0,0
Guyana,GUY,Latin America & Caribbean,68.919855105,0.27983579979257484
"Hong Kong SAR, China",HKG,East Asia & Pacific,0,0
Honduras,HND,Latin America & Caribbean,26.147107215000002,0.10616529371143299
Croatia,HRV,Europe & Central Asia,125.29230521999999,0.5087252778706215
Haiti,HTI,Latin America & Caribbean,6.016577186,0.02442915305455893
Hungary,HUN,Europe & Central Asia,156.936311489,0.6372096716557797
Indonesia,IDN,East Asia & Pacific,45.39888602999999,0.18433343428453222
Isle of Man,IMN,Europe & Central Asia,0,0
India,IND,South Asia,33.789002784999994,0.13719373907749324
Ireland,IRL,Europe & Central Asia,281.223457764,1.141853695193173
"Iran, Islamic Rep.",IRN,Middle East & North Africa,181.75562987600003,0.7379837345227349
Iraq,IRQ,Middle East & North Africa,115.580661214,0.4692930175505819
Iceland,ISL,Europe & Central Asia,208.39509170099998,0.8461481393155971
Israel,ISR,Middle East & North Africa,252.17995592,1.0239281488479193
Italy,ITA,Europe & Central Asia,208.07661901999998,0.844855042322518
Jamaica,JAM,Latin America & Caribbean,98.33668426,0.39927716979269473
Jordan,JOR,Middle East & North Africa,88.22526770699999,0.3582217100295566
Japan,JPN,East Asia & Pacific,276.756568821,1.1237167528266427
Kazakhstan,KAZ,Europe & Central Asia,355.52183472999997,1.4435279472631322
Kenya,KEN,Sub-Saharan Africa,8.114643463,0.03294794714876663
Kyrgyz Republic,KGZ,Europe & Central Asia,48.93998975899999,0.19871140406760124
Cambodia,KHM,East Asia & Pacific,9.506244457000001,0.03859827500501137
Kiribati,KIR,East Asia & Pacific,15.087561481999998,0.06126013799365655
St. Kitts and Nevis,KNA,Latin America & Caribbean,143.89349163599996,0.584251813291827
"Korea, Rep.",KOR,East Asia & Pacific,297.73772600000007,1.2089067012212564
Kuwait,KWT,Middle East & North Africa,646.285105296,2.6241162152619504
Lao PDR,LAO,East Asia & Pacific,18.396471857999998,0.0746953313802244
Lebanon,LBN,Middle East & North Africa,114.324426686,0.464192319162079
Liberia,LBR,Sub-Saharan Africa,6.107814285999999,0.0247996037296272
Libya,LBY,Middle East & North Africa,246.44261541300003,1.0006327825559753
St. Lucia,LCA,Latin America & Caribbean,84.589846525,0.3434607823912449
Liechtenstein,LIE,Europe & Central Asia,178.13450452499998,0.7232808523532576
Sri Lanka,LKA,South Asia,18.853294700000003,0.07655017256002417
Lesotho,LSO,Sub-Saharan Africa,7.272368518,0.029528051931049865
Lithuania,LTU,Europe & Central Asia,126.49288875799999,0.5136000161309121
Luxembourg,LUX,Europe & Central Asia,646.79062892,2.6261687965887766
Latvia,LVA,Europe & Central Asia,116.95889607100003,0.4748890747814484
"Macao SAR, China",MAC,East Asia & Pacific,0,0
St. Martin (French part),MAF,Latin America & Caribbean,0,0
Morocco,MAR,Middle East & North Africa,41.380634037000014,0.16801809585968866
Monaco,MCO,Europe & Central Asia,0,0
Moldova,MDA,Europe & Central Asia,107.85235770699998,0.43791372939586526
Madagascar,MDG,Sub-Saharan Africa,3.062424108,0.012434383361088503
Maldives,MDV,South Asia,64.862453121,0.26336150036836947
Mexico,MEX,Latin America & Caribbean,113.46031335599999,0.4606837533874763
Marshall Islands,MHL,East Asia & Pacific,65.217029486,0.2648011894178625
North Macedonia,MKD,Europe & Central Asia,128.55457365700002,0.5219710906456944
Mali,MLI,Sub-Saharan Africa,3.68791346,0.014974062424719629
Malta,MLT,Middle East & North Africa,173.47567130899998,0.7043645572288212
Myanmar,MMR,East Asia & Pacific,7.1281879120000005,0.028942634345172486
Montenegro,MNE,Europe & Central Asia,94.66913732899998,0.3843858017370074
Mongolia,MNG,East Asia & Pacific,151.98511854599997,0.617106306159423
Northern Mariana Islands,MNP,East Asia & Pacific,0,0
Mozambique,MOZ,Sub-Saharan Africa,3.6412693370000007,0.014784672945513064
Mauritania,MRT,Sub-Saharan Africa,18.180600474000002,0.0738188271957345
Mauritius,MUS,Sub-Saharan Africa,69.219278629,0.2810515513519418
Malawi,MWI,Sub-Saharan Africa,1.978288258,0.008032458513650115
Malaysia,MYS,East Asia & Pacific,179.608527488,0.7292658387426704
Namibia,NAM,Sub-Saharan Africa,38.84223929899999,0.15771143284341707
New Caledonia,NCL,East Asia & Pacific,0,0
Niger,NER,Sub-Saharan Africa,2.168270083,0.00880384312935966
Nigeria,NGA,Sub-Saharan Africa,20.851149624,0.08466207775302441
Nicaragua,NIC,Latin America & Caribbean,21.731026162000003,0.08823464699819814
Netherlands,NLD,Europe & Central Asia,298.59932382600005,1.2124050532762765
Norway,NOR,Europe & Central Asia,231.358600409,0.9393870443532941
Nepal,NPL,South Asia,5.222080589,0.0212032526182441
Nauru,NRU,East Asia & Pacific,221.170164784,0.8980188634798235
New Zealand,NZL,East Asia & Pacific,218.01099645500008,0.88519166883935
Oman,OMN,Middle East & North Africa,378.995939181,1.5388400279901193
Pakistan,PAK,South Asia,22.259066061999995,0.09037865132777441
Panama,PAN,Latin America & Caribbean,61.868094694999996,0.2512034846016683
Peru,PER,Latin America & Caribbean,38.585529009000005,0.1566691101454415
Philippines,PHL,East Asia & Pacific,27.628105330000004,0.11217860136234033
Palau,PLW,East Asia & Pacific,338.75419622,1.3754461800288564
Papua New Guinea,PNG,East Asia & Pacific,18.925072128000004,0.07684161098427555
Poland,POL,Europe & Central Asia,246.56478120699998,1.0011288132371077
Puerto Rico,PRI,Latin America & Caribbean,0,0
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,87.36398237200001,0.354724626784066
Portugal,PRT,Europe & Central Asia,153.98568864900002,0.6252292358138922
Paraguay,PRY,Latin America & Caribbean,23.326095547000005,0.0947111190742943
West Bank and Gaza,PSE,Middle East & North Africa,0,0
French Polynesia,PYF,East Asia & Pacific,0,0
Qatar,QAT,Middle East & North Africa,1151.00519575,4.673434948860524
Romania,ROU,Europe & Central Asia,135.51345632000002,0.5502262936303275
Russian Federation,RUS,Europe & Central Asia,344.06080498000006,1.3969926430078996
Rwanda,RWA,Sub-Saharan Africa,2.243793519,0.009110491497728185
Saudi Arabia,SAU,Middle East & North Africa,413.33442561,1.6782648395902902
Sudan,SDN,Sub-Saharan Africa,10.052224443999998,0.04081512160313777
Senegal,SEN,Sub-Saharan Africa,14.298258259,0.05805532425238336
Singapore,SGP,East Asia & Pacific,274.9735228800001,1.1164770381434581
Solomon Islands,SLB,East Asia & Pacific,17.744283756999998,0.07204724718764322
Sierra Leone,SLE,Sub-Saharan Africa,2.816926501,0.011437587603213728
El Salvador,SLV,Latin America & Caribbean,29.412402027,0.11942339449940569
San Marino,SMR,Europe & Central Asia,0,0
Somalia,SOM,Sub-Saharan Africa,1.8473373590000004,0.007500757605408318
Serbia,SRB,Europe & Central Asia,196.44563975399998,0.7976296907846585
South Sudan,SSD,Sub-Saharan Africa,3.3390111479999995,0.013557411774783553
Sao Tome and Principe,STP,Sub-Saharan Africa,14.488700468999998,0.058828578172729296
Suriname,SUR,Latin America & Caribbean,119.11085721399998,0.4836266986005421
Slovak Republic,SVK,Europe & Central Asia,212.733392239,0.8637629732258286
Slovenia,SVN,Europe & Central Asia,219.52121775399996,0.8913236316013953
Sweden,SWE,Europe & Central Asia,162.54144958700002,0.6599682555241296
Eswatini,SWZ,Sub-Saharan Africa,19.844433757,0.08057450183783096
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,0,0
Seychelles,SYC,Sub-Saharan Africa,127.97453807399998,0.5196159678580784
Syrian Arab Republic,SYR,Middle East & North Africa,74.537342275,0.3026445246897262
Turks and Caicos Islands,TCA,Latin America & Caribbean,0,0
Chad,TCD,Sub-Saharan Africa,2.5173358569999995,0.010221157485268941
Togo,TGO,Sub-Saharan Africa,8.370725611,0.03398771939711225
Thailand,THA,East Asia & Pacific,91.547892092,0.37171258650876926
Tajikistan,TJK,Europe & Central Asia,18.725165775999997,0.07602992973784356
Turkmenistan,TKM,Europe & Central Asia,311.6155857729999,1.2652550783771577
Timor-Leste,TLS,East Asia & Pacific,5.5203381060000005,0.022414269830724972
Tonga,TON,East Asia & Pacific,34.524361303,0.14017952073221826
Trinidad and Tobago,TTO,Latin America & Caribbean,359.71652044500007,1.4605596608404054
Tunisia,TUN,Middle East & North Africa,67.47540095000001,0.2739708718539958
Turkiye,TUR,Europe & Central Asia,110.14268534499999,0.4472131637227415
Tuvalu,TUV,East Asia & Pacific,30.01421203100001,0.1218669281304028
Tanzania,TZA,Sub-Saharan Africa,4.110329164,0.016689200046435378
Uganda,UGA,Sub-Saharan Africa,2.40385773,0.00976040140301037
Ukraine,UKR,Europe & Central Asia,201.14695461199992,0.8167184744357675
Uruguay,URY,Latin America & Caribbean,53.051199364,0.21540417897517103
United States,USA,North America,544.5420153599999,2.2110079911916576
Uzbekistan,UZB,Europe & Central Asia,133.32916352499998,0.5413573933643773
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,64.58408359899998,0.262231234529765
"Venezuela, RB",VEN,Latin America & Caribbean,160.09007604,0.6500149252962873
British Virgin Islands,VGB,Latin America & Caribbean,0,0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,0,0
Vietnam,VNM,East Asia & Pacific,37.19362029599999,0.1510175328554545
Vanuatu,VUT,East Asia & Pacific,14.590975865999999,0.05924384772712687
Samoa,WSM,East Asia & Pacific,29.661144598999996,0.12043336581278169
"Yemen, Rep.",YEM,Middle East & North Africa,24.157332557,0.09808619688251305
South Africa,ZAF,Sub-Saharan Africa,219.44361639099998,0.8910085462105887
