source,target,value
00,O,6474
00,H,3352
00,OT,731
00,10,35655
00,01,45713
01,O,5601
01,H,2650
01,OT,472
01,02,18567
01,11,18423
02,O,2822
02,SO,3984
02,H,1311
02,OT,238
02,12,10212
10,O,3978
10,H,2061
10,OT,282
10,11,17144
10,20,12190
11,O,5153
11,H,2490
11,OT,342
11,12,15603
11,21,11979
12,O,4831
12,SO,6308
12,H,2296
12,OT,327
12,22,12053
20,O,1391
20,H,764
20,OT,95
20,21,5956
20,30,3984
21,O,2927
21,H,1499
21,OT,147
21,22,8340
21,31,5022
22,O,4719
22,SO,5365
22,H,2195
22,OT,249
22,32,7865
30,O,89
30,H,53
30,BB,1132
30,OT,488
30,31,2222
31,O,1173
31,H,682
31,BB,1910
31,OT,86
31,32,3393
32,O,3378
32,SO,2810
32,H,1574
32,BB,3364
32,OT,132
