Australia,Brazil,Canada,China,France,Germany,India,Italy,Japan,Mexico,Norway,USA,year,date
15.45,1.33,15.15,1.91,6.12,12.03,0.65,7.15,8.83,3.21,6.91,19.41,1990,1990-01-01
15.32,1.35,14.74,2.0,6.5,11.65,0.68,7.12,8.91,3.37,6.41,19.0,1991,1991-01-01
15.34,1.35,15.03,2.08,6.26,11.07,0.69,7.08,8.96,3.35,7.05,19.02,1992,1992-01-01
15.46,1.37,14.71,2.24,5.91,10.93,0.7,6.98,8.87,3.39,7.52,19.22,1993,1993-01-01
15.69,1.4,15.06,2.32,5.81,10.76,0.73,6.9,9.27,3.62,7.93,19.26,1994,1994-01-01
16.06,1.49,15.29,2.56,5.92,10.71,0.77,7.33,9.33,3.35,7.89,19.22,1995,1995-01-01
16.43,1.59,15.59,2.52,6.16,11.04,0.79,7.25,9.42,3.46,7.9,19.58,1996,1996-01-01
16.63,1.68,15.94,2.55,5.99,10.64,0.82,7.3,9.3,3.62,8.29,20.33,1997,1997-01-01
17.56,1.71,16.08,2.61,6.33,10.55,0.82,7.49,8.94,3.8,8.55,20.27,1998,1998-01-01
17.63,1.75,16.26,2.52,6.2,10.15,0.87,7.61,9.2,3.64,8.9,20.1,1999,1999-01-01
17.72,1.79,16.76,2.65,6.13,10.1,0.89,7.66,9.32,3.83,7.64,20.47,2000,2000-01-01
17.8,1.8,16.33,2.77,6.14,10.29,0.89,7.66,9.2,3.78,7.69,20.17,2001,2001-01-01
17.98,1.77,16.72,2.98,6.0,10.1,0.9,7.77,9.47,3.8,7.57,19.45,2002,2002-01-01
17.72,1.71,17.21,3.43,6.05,10.14,0.91,8.06,9.51,3.93,8.14,19.51,2003,2003-01-01
18.17,1.79,16.79,3.95,6.02,9.95,0.96,8.19,9.47,3.96,8.13,19.6,2004,2004-01-01
18.15,1.78,17.03,4.47,6.03,9.73,0.99,8.17,9.49,4.08,7.86,19.47,2005,2005-01-01
18.14,1.78,16.6,4.91,5.84,9.89,1.04,8.03,9.3,4.17,7.98,18.95,2006,2006-01-01
18.52,1.85,17.38,5.31,5.67,9.53,1.13,7.86,9.57,4.19,8.02,19.04,2007,2007-01-01
18.3,1.95,16.56,5.44,5.56,9.62,1.19,7.56,9.04,4.15,7.73,18.28,2008,2008-01-01
18.22,1.81,15.5,5.8,5.31,8.97,1.29,6.72,8.6,3.99,7.75,16.81,2009,2009-01-01
17.59,2.03,15.79,6.34,5.35,9.45,1.34,6.84,9.03,4.06,8.47,17.43,2010,2010-01-01
17.3,2.12,16.0,6.9,5.13,9.3,1.41,6.68,9.49,4.13,8.0,16.6,2011,2011-01-01
17.02,2.28,15.73,7.05,5.15,9.45,1.51,6.33,9.82,4.15,7.67,15.79,2012,2012-01-01
16.44,2.42,15.84,7.32,5.13,9.62,1.54,5.75,9.91,4.0,7.78,16.11,2013,2013-01-01
15.83,2.52,15.85,7.29,4.62,9.09,1.66,5.39,9.56,3.84,7.61,16.04,2014,2014-01-01
15.86,2.37,15.65,7.15,4.68,9.09,1.65,5.56,9.28,3.87,7.61,15.56,2015,2015-01-01
15.91,2.17,15.42,7.12,4.7,9.07,1.66,5.5,9.19,3.84,7.4,15.15,2016,2016-01-01
15.82,2.2,15.54,7.23,4.75,8.86,1.73,5.44,9.1,3.78,7.15,14.82,2017,2017-01-01
15.49,2.07,15.65,7.49,4.58,8.54,1.81,5.38,8.8,3.59,7.08,15.22,2018,2018-01-01
15.24,2.06,15.43,7.61,4.47,7.91,1.8,5.31,8.54,3.52,6.72,14.67,2019,2019-01-01
