,date,region,co2
0,2010-01-01,East Asia & Pacific,4.33
1,2010-01-01,Europe & Central Asia,6.72
2,2010-01-01,Latin America & Caribbean,3.06
3,2010-01-01,Middle East & North Africa,8.52
4,2010-01-01,North America,16.61
5,2010-01-01,South Asia,0.84
6,2010-01-01,Sub-Saharan Africa,0.99
7,2011-01-01,East Asia & Pacific,4.38
8,2011-01-01,Europe & Central Asia,6.61
9,2011-01-01,Latin America & Caribbean,3.26
10,2011-01-01,Middle East & North Africa,8.37
11,2011-01-01,North America,16.3
12,2011-01-01,South Asia,0.91
13,2011-01-01,Sub-Saharan Africa,0.98
14,2012-01-01,East Asia & Pacific,4.39
15,2012-01-01,Europe & Central Asia,6.42
16,2012-01-01,Latin America & Caribbean,3.61
17,2012-01-01,Middle East & North Africa,8.77
18,2012-01-01,North America,15.76
19,2012-01-01,South Asia,0.97
20,2012-01-01,Sub-Saharan Africa,0.97
21,2013-01-01,East Asia & Pacific,4.43
22,2013-01-01,Europe & Central Asia,6.32
23,2013-01-01,Latin America & Caribbean,3.18
24,2013-01-01,Middle East & North Africa,8.6
25,2013-01-01,North America,15.97
26,2013-01-01,South Asia,0.93
27,2013-01-01,Sub-Saharan Africa,0.97
28,2014-01-01,East Asia & Pacific,4.39
29,2014-01-01,Europe & Central Asia,5.99
30,2014-01-01,Latin America & Caribbean,3.13
31,2014-01-01,Middle East & North Africa,8.66
32,2014-01-01,North America,15.95
33,2014-01-01,South Asia,1.03
34,2014-01-01,Sub-Saharan Africa,0.97
35,2015-01-01,East Asia & Pacific,4.38
36,2015-01-01,Europe & Central Asia,5.94
37,2015-01-01,Latin America & Caribbean,3.11
38,2015-01-01,Middle East & North Africa,8.52
39,2015-01-01,North America,15.6
40,2015-01-01,South Asia,1.05
41,2015-01-01,Sub-Saharan Africa,0.95
42,2016-01-01,East Asia & Pacific,4.51
43,2016-01-01,Europe & Central Asia,5.94
44,2016-01-01,Latin America & Caribbean,3.05
45,2016-01-01,Middle East & North Africa,8.34
46,2016-01-01,North America,15.29
47,2016-01-01,South Asia,1.19
48,2016-01-01,Sub-Saharan Africa,0.96
49,2017-01-01,East Asia & Pacific,4.69
50,2017-01-01,Europe & Central Asia,5.99
51,2017-01-01,Latin America & Caribbean,2.96
52,2017-01-01,Middle East & North Africa,8.24
53,2017-01-01,North America,15.18
54,2017-01-01,South Asia,1.24
55,2017-01-01,Sub-Saharan Africa,0.93
56,2018-01-01,East Asia & Pacific,4.68
57,2018-01-01,Europe & Central Asia,5.94
58,2018-01-01,Latin America & Caribbean,3.01
59,2018-01-01,Middle East & North Africa,7.92
60,2018-01-01,North America,15.44
61,2018-01-01,South Asia,1.3
62,2018-01-01,Sub-Saharan Africa,0.94
63,2019-01-01,East Asia & Pacific,4.66
64,2019-01-01,Europe & Central Asia,5.72
65,2019-01-01,Latin America & Caribbean,3.03
66,2019-01-01,Middle East & North Africa,8.06
67,2019-01-01,North America,15.05
68,2019-01-01,South Asia,1.29
69,2019-01-01,Sub-Saharan Africa,0.93
