key,singer
0,Carl Woitschach
1,Robert Schumann
2,Vladimir Horowitz
3,Seweryn Goszczyński
4,Francisco Canaro
5,Frédéric Chopin
6,Felix Mendelssohn
7,Franz Liszt
8,Charlo
9,Sergei Rachmaninoff
10,Samuel Barber
11,Ludwig van Beethoven
12,Staatskapelle Berlin
13,Richard Strauss
14,George Butterworth
15,John Cameron
16,Alexander Scriabin
17,Luis Scalon
18,Thomas Arne
19,John Heddle Nash
20,Moritz Moszkowski
21,Roger Quilter
22,Hafız Yaşar
23,Muzio Clementi
24,Ignacio Corsini
25,Shungi Music Crew
26,Perchicot
27,Dmitry Kabalevsky
28,Paul Whiteman
29,Ted Weems & His Orchestra
30,Taj Mahal
31,John Raitt
32,Leroy Carr
33,Hikmet Rıza Hanım
34,Elsie Houston
35,Αντώνης Νταλγκάς
36,Stellakis Perpiniadis
37,Αντώνης Διαμαντίδης
38,S. Loukopoulos
39,Klarino G. Anestopoulos
40,Klarino KOstas Giaouzos
41,Klarinos Nikos Karakostas
42,Paradosiako I. KIriakatis
43,Moune De Rivel
44,Dimitris Gkogkos
45,Giorgos Papasideris
46,Petros Epitropakis
47,Antonis Kalampousis
48,Cellular Project
49,Luis Diaz
50,Sotiris Stasinopoulos
51,Nota Kaleli
52,Robert Francis
53,Roberto Maida
54,The Caresser
55,Soula Karagiorgi
56,The Merlons
57,Angel Ramos
58,Κώστας Δούσιας
59,Miltiadis Kazis
60,Carlos Gardel
61,Raquel Meller
62,The Four Deuces
63,Banda del Regimiento Pérez 3 de Infantería
64,Adrián Patiño
65,Shiny Gnomes
66,Elvira Nte Ntalgko
67,Paradosiako
68,Ioannis Panagiotopoulos
69,Los Peregrinos
70,D.roitman
71,Carlos Galhardo
72,Smt. Angurbala Devi
73,Roza Eskenazi
74,Marika Papaggika
75,Pirros Xronidis
76,Dimitris Arapakis
77,Gene Sedric
78,Al Casey
79,Kostas Tsanakos
80,Sy Oliver
81,Attila the Hun
82,Jimmie Lunceford & His Orchestra
83,Patrício Teixeira
84,Klarino Har. Margels
85,ANTONIS NTALGKAS
86,Kostas Roukounas
87,Ernesto Fama
88,Jack Payne
89,Hrisoula Stini
90,Lord Kitchener
91,Shorty Bralik
92,ParkPlace Swagg
93,Manuel Ponce
94,Andrés Segovia
95,Fragiskos Dimitriou
96,Giorgos Mpekas
97,Polixeni LItou
98,Dimitris Filipopoulos
99,Luis Díaz
100,Paradosiako Har. Margelis
101,Renos Talmas
102,Panos Visvardis
103,Manolis Xiotis
104,Oρχήστρα Β.Reibold
105,Τέτος Δημητριάδης
106,Kostas Nouros
107,Rita Ampatzi
108,Danai Stratigopoulou
109,Γιώργος Κατσαρός
110,Giota Lidia
111,Prodromos Tsaousakis
112,Sofia Iatridou
113,Federico Moreno Torroba
114,Vicente Gomez
115,Guillermo Gomez
116,Sinclair Lewis
117,Frank Arnold
118,Franz Joseph Haydn
119,Pro Arte Quartet
120,Эрнест Хемингуэй
121,Nikos Karakostas
122,Margarita Cueto
123,Jorge Añez
124,Cristian Vasile
125,Viorel Demetriad
126,Ruggero Leoncavallo
127,Karl Böhm
128,Staatskapelle Dresden
129,Petre Alexandru
130,Johannes Brahms
131,Marilyn Horne
132,Anton Bruckner
133,Stratos Pagioumtzis
134,Marcelle Bordas
135,Kakkia Mendri
136,Lidia Likiardopoulou
137,2014 ATHINAIKI DISCOGRAFIKI
138,Leontyne Price
139,Thomas Schippers
140,New Philharmonia Orchestra
141,Leonard Slatkin
142,St. Louis Symphony
143,Max Reger
144,Jean Moscopol
145,Jeff Stetson
146,Jean Sibelius
147,Jascha Heifetz
148,Sir Thomas Beecham
149,London Philharmonic Orchestra
150,Avelino Muñoz
151,Eugen Mirea
152,V. Citov
153,Manole Stroici
154,K.C.Dey
155,n/a
156,"Nitsch, Johanens"
157,In Motion
158,Carmen Miranda
159,N. Vlădoianu
160,N. Constantinescu
161,Ion Vasilescu
162,Mia Braia
163,Richard Wagner
164,Arno Schellenberg
165,Eugen Füchs
166,Hanns Lange
167,Hans Hermann Nissen
168,Helene Jung
169,Hermann Greiner
170,Klaus Hermanns
171,Ludwig Eybisch
172,Margarete Teschemacher
173,Martin Kremer
174,Robert Büssel
175,Rudolf Dittrich
176,Rudolf Schmalnauer
177,Serge Smirnoff
178,Sven Nilsson
179,Torsten Ralf
180,Πέτρος Κυριακός
181,Carl Verheyen
182,Nandalal Puri
183,Carlota Jaramillo
184,Elyane Célis
185,Theodor Berger
186,Wolfgang Amadeus Mozart
187,Lead Belly
188,Marianne Oswald
189,Juan Arvizu
190,New York Philharmonic
191,Arturo Toscanini
192,Leonard Bernstein
193,Columbia Symphony Orchestra
194,Bruno Walter
195,Wiener Philharmoniker
196,Herbert von Karajan
197,Concertgebouworkest
198,Erich Kleiber
199,Orchestre De La Société Des Concerts Du Conservatoire
200,Carl Schuricht
201,Jeanette Mcdonald
202,Allan Jones
203,Josef Krips
204,Tilla Briem
205,Elisabeth Höngen
206,Peter Anders
207,Rudolf Watzke
208,Choeur Bruno Kittel
209,Berliner Philharmoniker
210,Wilhelm Furtwängler
