eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,summary,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nwound
200001010001,2000,1,1,139,Namibia,11,Sub-Saharan Africa,Muitjiku,-17.910812,19.988303,"01/01/2000: In the first of two related incidents, National Union for the Total Independence of Angola (UNITA) members attacked a tavern in the village of Muitjiku, Namibia. The owner of the tavern fired back at UNITA, injuring some of the rebels.",1,0,2,Armed Assault,1,Business,National Union for the Total Independence of Angola (UNITA),5,Firearms,0,7
200001010002,2000,1,1,139,Namibia,11,Sub-Saharan Africa,Muitjiku,-17.910812,19.988303,"01/01/2000: In the second of two related incidents, the National Union for the Total Independence of Angola (UNITA) attacked the Bush Babies nightclub in the village of Muitjiku, Namibia, injuring seven and kidnapping 20. The fate of the hostages was not known.",1,0,6,Hostage Taking (Kidnapping),1,Business,National Union for the Total Independence of Angola (UNITA),5,Firearms,0,7
200001010003,2000,1,1,92,India,6,South Asia,Udhampur,32.925224,75.135264,"01/01/2000: Members of Lashkar-e Taiba attacked the Central Reserve Police Force (CRPF) 68 battalion camp at Umorha Morhcamp in Udhampur, killing one and injuring two.",1,0,2,Armed Assault,3,Police,Lashkar-e-Taiba (LeT),5,Firearms,1,2
200001010004,2000,1,1,1003,Kosovo,9,Eastern Europe,Peje,42.659809,20.307119,"01/01/2000: A Romany (gypsy) house in Pec, Kosovo, was bombed by unknown perpetrators, injuring one person.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,0,1
200001010005,2000,1,1,182,Somalia,11,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,01/01/2000: Over six people were killed and ten were injured when their truck was attacked by a group of armed men. The victims were milk traders leaving Mogadishu. The attack was suspected to be clan-based revenge.,1,0,2,Armed Assault,14,Private Citizens & Property,Unknown,5,Firearms,6,10
200001010010,2000,1,1,185,Spain,8,Western Europe,Galdacano,43.230556,-2.845833,"01/01/2000: A Civil Guard barracks in Galdacano, Vizcaya Province was attacked by Basque radicals with 36 petrol bombs. One person was injured and an unknown amount of damage was done to the facilities.",1,0,2,Armed Assault,4,Military,Unknown,8,Incendiary,0,1
200001010016,2000,1,1,19,Bangladesh,6,South Asia,Chittagong,22.341896,91.815117,"01/01/2000: In a series of related incidents, numerous bombs were detonated by unidentified attackers around Chittagong, Bangladesh, in an attempt to disrupt Chittagong City Corporation (CCC) elections on January 3, 2000. In this incident, unidentified perpetrators threw bombs at a police van in the Kadamtali area of Chittagong, injuring two police constables.",1,0,2,Armed Assault,3,Police,Unknown,6,Explosives,0,2
200001010018,2000,1,1,19,Bangladesh,6,South Asia,Chittagong,22.341896,91.815117,"01/01/2000: In a series of related incidents, numerous bombs were detonated by unidentified attackers around Chittagong, Bangladesh, in an attempt to disrupt Chittagong City Corporation (CCC) elections on January 3, 2000. In this incident, at approximately 7:00 pm local time, perpetrators threw bricks at the on-duty police in the port area, injuring one. Sporadic bombings on the port also occurred throughout the evening.",1,0,2,Armed Assault,3,Police,Unknown,6,Explosives,0,1
200001010019,2000,1,1,19,Bangladesh,6,South Asia,Chittagong,22.341896,91.815117,"01/01/2000: In a series of related incidents, numerous bombs were detonated by unidentified attackers around Chittagong, Bangladesh, in an attempt to disrupt Chittagong City Corporation (CCC) elections on January 3, 2000. In this incident, Faruq Khaled Chowdhury, a commissioner candidate of Chawkbazar ward was injured when perpetrators fired at him from an autorickshaw, while he was campaigning in the Chandanpura area of Chittagong.",1,0,2,Armed Assault,2,Government (General),Unknown,5,Firearms,0,1
200001010021,2000,1,1,19,Bangladesh,6,South Asia,Chittagong,22.341896,91.815117,"01/01/2000: In a series of related incidents, numerous bombs were detonated by unidentified attackers around Chittagong, Bangladesh, in an attempt to disrupt Chittagong City Corporation (CCC) elections on January 3, 2000. In this incident, at 6:30pm local time a three hour battle began between unidentified opposition activists and police and the Bangladesh Rifles (BDR) paramilitaries at the Bahaddarhat bus-stand. At least 30 people were injured and 12 individuals were arrested in this attack.",1,0,2,Armed Assault,19,Transportation,Unknown,6,Explosives,0,30
200001010028,2000,1,1,186,Sri Lanka,6,South Asia,Iyakachchi,9.563842,80.399966,"1/1/2000: Tamil guerrillas attacked a military base located in Iyakachchi, Northern province, Sri Lanka.  Sixty-three people were killed in the attack, including 50 assailants and 13 soldiers.",1,0,9,Unknown,4,Military,Tamils,13,Unknown,63,
200001020002,2000,1,2,6,Algeria,10,Middle East & North Africa,El Omaria,36.26458,3.03083,"01/02/2000: Five members of a family were killed and one girl kidnapped after a group of approximately 10 unknown attackers exploded two bombs outside their apartment in El Ameria, Algeria. The man, wife, son, and grandmother were stabbed to death, and another son was burnt to death.",1,0,2,Armed Assault,14,Private Citizens & Property,Unknown,9,Melee,5,0
200001030001,2000,1,3,139,Namibia,11,Sub-Saharan Africa,Katima Mulilio,-17.503986,24.27923,"01/03/2000: Three French children were killed and four were injured after National Union for the Total Independence of Angola (UNITA) members opened fire on the bus they were traveling in en route from Katime Mulilo Town to Rundu, Namibia.",1,0,2,Armed Assault,18,Tourists,National Union for the Total Independence of Angola (UNITA),5,Firearms,3,4
200001030002,2000,1,3,110,Lebanon,10,Middle East & North Africa,Beirut,33.888523,35.503513,"01/03/2000: The Russian Embassy in Beirut, Lebanon, was attacked with grenades and guns, causing the death of one Lebanese policeman and the attacker, a Palestinian named Ahmad Raja Abu-Kharrub, and the injury of other policemen. The Islamic group Al-Muhajirun claimed that the Usbat al-Ansar (League of Partisans) group was responsible for the attack.",1,0,2,Armed Assault,7,Government (Diplomatic),Asbat al-Ansar,5,Firearms,2,
200001030003,2000,1,3,92,India,6,South Asia,Srinagar,34.08374,74.789902,"01/03/2000: A bomb exploded at a vegetable market in Srinagar, Jammu and Kashmir State. Eighteen people were killed, fourteen civilians and four security personnel, and at lest thirty people were injured in this attack by unknown perpetrators.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,18,30
200001030006,2000,1,3,6,Algeria,10,Middle East & North Africa,Germain,36.5175,2.553056,"01/03/2000: Six were killed and fourteen wounded when four or six armed, unknown people dressed in Municipal Guard uniforms stormed a café in Germain, Tipasa province, and opened fire.",1,0,2,Armed Assault,1,Business,Unknown,5,Firearms,6,14
200001040006,2000,1,4,147,Nigeria,11,Sub-Saharan Africa,Lagos,6.520917,3.379534,"01/04/2000:  Two Nigerian police officers were targeted with acid caustics in Lagos, Nigeria.",1,0,8,Unarmed Assault,3,Police,Odua Peoples' Congress (OPC),2,Chemical,0,2
200001050004,2000,1,5,186,Sri Lanka,6,South Asia,Colombo,6.941837,79.861687,"01/05/2000: Kumar Ponnambalam, a minority leader in the All Ceylon Tamil Congress, was shot and killed by unknown gunmen in Colombo, Sri Lanka.",1,0,1,Assassination,2,Government (General),Unknown,5,Firearms,1,0
200001050005,2000,1,5,186,Sri Lanka,6,South Asia,Colombo,6.941837,79.861687,"01/05/2000: A woman suicide bomber detonated explosives strapped to herself outside Sri Lankan Prime Minister Sirima Bandaranaike's office. A total of eleven people were killed: six people including the bomber were killed instantly, five later died of wounds, and 25 were wounded. The bomber was identified as Gunanayagam Leela Lakshmi, a member of the Liberation Tigers of Tamil Eelam (LTTE).",1,1,3,Bombing/Explosion,2,Government (General),Liberation Tigers of Tamil Eelam (LTTE),6,Explosives,11,25
200001060003,2000,1,6,92,India,6,South Asia,New Delhi,28.585836,77.153336,01/06/2000: A bomb exploded on a passenger train stopped at the Old Delhi railway station. The perpetrators were unknown. Twenty-three people were injured but none seriously and the train compartment was significantly damaged.,1,0,3,Bombing/Explosion,19,Transportation,Unknown,6,Explosives,0,23
200001070002,2000,1,7,179,Slovak Republic,9,Eastern Europe,Bratislava,48.15,17.116667,01/07/2000: An unidentified person threw a Molotov cocktail into a pharmacy in Bratislava causing a fire in the building. Three employees and a firefighter were injured and the interior of the pharmacy was completely destroyed.,1,0,2,Armed Assault,1,Business,Unknown,8,Incendiary,0,4
200001080003,2000,1,8,195,Sudan,11,Sub-Saharan Africa,Bentiu,9.26028,29.800167,"01/08/2000: A team from CARE International was attacked by armed rebels while traveling from Bentiu Town to Mayom Town, in Wahdah State, to open a health center in Mayom Town. The director of the CARE office and the driver were killed and two researchers were missing.",1,0,2,Armed Assault,12,NGO,Unknown,5,Firearms,2,0
200001080004,2000,1,8,95,Iraq,10,Middle East & North Africa,Kalar District,34.633333,45.3,"01/08/2000: At 7:30 pm local time, a man identified only as S.M.M. attempted to throw a hand grenade into a group of youths celebrating Id al-Fitr in Kalar District, Iraq. The attack failed when the grenade exploded in the perpetrator’s hand, leading to his death. Investigation revealed that the man was a member of an undisclosed Islamic group.",0,0,3,Bombing/Explosion,14,Private Citizens & Property,Muslim extremists,6,Explosives,1,0
200001080005,2000,1,8,93,Indonesia,5,Southeast Asia,Simpang Ulim,5.09678,97.5326,01/08/2000: Two policemen were killed when the Simpang Ulim police headquarters were attacked by Free Aceh Movement (GAM) rebels armed with rifles.,1,0,2,Armed Assault,3,Police,Free Aceh Movement (GAM),5,Firearms,2,0
200001080008,2000,1,8,94,Iran,10,Middle East & North Africa,Chalfra,33.275808,46.720555,"1/8/2000:  Members of the Mujahideen-I-Khalq (MK) organization attacked the village of Chalfra, in Ilam province, Iran.  The rebels fired mortar rounds into the village.  At least three villagers were killed and four were injured, although the MKO released a statement that dozens of Iranian security forces had been killed.  On January 12, 2000, Iranian police killed three MK members trying to cross the border into Iraq; it is believed that these three members were the ones responsible for the attack on Chalfra.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Mujahedin-e Khalq (MEK),6,Explosives,3,4
200001090002,2000,1,9,93,Indonesia,5,Southeast Asia,Aceh,4.707828,96.732788,01/09/2000: Three police headquarters in Aceh were attacked with grenades and guns by Free Aceh Movement (GAM) rebels. One Indonesian Military Forces officer was killed and fourteen policemen were injured.,1,0,2,Armed Assault,3,Police,Free Aceh Movement (GAM),5,Firearms,1,14
200001090005,2000,1,9,139,Namibia,11,Sub-Saharan Africa,Nkonke,-17.8,18.85,01/09/2000: Two civilians were killed and one was injured after suspected National Union for the Total Independence of Angola (UNITA) rebels entered a house in the Nkonke village and began firing at the occupants.,1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),5,Firearms,2,1
200001090006,2000,1,9,28,Bosnia-Herzegovina,9,Eastern Europe,Travnik,44.226667,17.670556,"1/9/2000:  A car bomb exploded in Travnik, Bosnia-Herzegovina.  The car belonged to Ejub Cejvan and it was parked outside of his shop at the time of the explosion.  One police officer, Nezir Memeledzija, was injured in the explosion.  Sources speculate that the explosive device was only a detonator, given that the damage was minimal.  Local police do not believe the attack was politically or ethnically motivated.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,0,1
200001100001,2000,1,10,603,United Kingdom,8,Western Europe,Portadown,54.42071,-6.443767,"01/10/2000: Commander of an Ulster Volunteer Force (UVF) group in Portadown, County Armagh, Richard Jameson was shot repeatedly and killed, probably by members of the UVF split-off Loyalist Volunteer Force (LVF).",1,0,1,Assassination,17,Terrorists/Non-State Militia,Loyalist Volunteer Forces (LVF),5,Firearms,1,0
200001100004,2000,1,10,6,Algeria,10,Middle East & North Africa,Tafal,36.318764,3.004659,"1/10/2000: Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, detonated a bomb targeting Sonelgaz workers fixing an electric power line in Tafal, Algeria.  One worker was killed and two others were wounded by the blast.",1,0,3,Bombing/Explosion,1,Business,Algerian Islamic Extremists,6,Explosives,1,2
200001110001,2000,1,11,118,Macedonia,9,Eastern Europe,Aracinovo,42.026389,21.561667,01/11/2000: Three policemen in the Interior Ministry were killed by unknown gunmen in Aracinovo when they stopped a car at a road checkpoint.,1,0,2,Armed Assault,2,Government (General),Unknown,5,Firearms,3,0
200001110002,2000,1,11,213,Uganda,11,Sub-Saharan Africa,Bundibugyo district,0.707531,30.063635,"01/11/2000: Allied Democratic Forces (ADF) rebels raided the Bundwarume displaced persons camp in Bundibugyo district, Uganda, killing ten people and kidnapping six youths.",1,0,2,Armed Assault,14,Private Citizens & Property,Allied Democratic Forces (ADF),13,Unknown,10,0
200001110003,2000,1,11,92,India,6,South Asia,Kaghaznagar,19.351868,79.481219,"01/11/2000: Two policemen were killed and two injured when the People's War Group attacked with explosives the District Superintendent of Police camp office at Kagajnagar, Adilabad District.",1,0,3,Bombing/Explosion,3,Police,People's War Group (PWG),6,Explosives,2,2
200001120001,2000,1,12,183,South Africa,11,Sub-Saharan Africa,Pretoria,-25.748281,28.212069,01/12/2000: An unknown white man killed three black people and injured four others after he boarded a bus in Pretoria and opened fire. The attack was believed to be racially motivated.,1,0,2,Armed Assault,14,Private Citizens & Property,Unknown,5,Firearms,3,4
200001120005,2000,1,12,92,India,6,South Asia,Khanabal,33.741093,75.129728,"01/12/2000: Pakistani group Lashkar-e Taiba claimed responsibility for an armed attack with grenades and guns on the Rashtriya Rifles headquarters in Khannabal. Around 15 soldiers were killed, two civilians, and three militants.",1,0,2,Armed Assault,4,Military,Lashkar-e-Taiba (LeT),5,Firearms,20,
200001120006,2000,1,12,183,South Africa,11,Sub-Saharan Africa,Cape Town,-33.941849,18.41964,01/12/2000: A pipe bomb place by unknown perpetrators exploded outside the Wynberg Magistrate's Court in Cape Town. One person was injured and a motorcycle was destroyed.,1,0,3,Bombing/Explosion,2,Government (General),Unknown,6,Explosives,0,1
