distanceRange,Grouping,flightDistance,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-1000,Business travel,495.3979838355442,2.8492269173328646,2.6907449705701483,2.838794693841694,3.0122331547043837,3.1963673899674956,3.2174514627075466,3.354981112184837,3.3546516735482736,3.283822366687165,3.3292848985329,3.57036809276992,3.1601950276728457,3.5745190195906176,3.2406000175700607
0-1000,Personal Travel,506.72388943397505,2.5166965524241296,3.6472240078492404,2.4605338836823765,2.9223195858849005,3.073282132828095,2.7916567987278817,3.193287546097371,3.0557228406130528,3.2703928003518623,3.064011909192408,3.5978617586358563,3.34665223128193,3.611361098893663,3.122948878438272
1000-2000,Business travel,1473.0696786023532,2.8406764121631944,2.864462894106861,2.9221718535119443,2.9777415575816226,3.2821270310192023,3.5262568125095504,3.6241532114297357,3.515407731879998,3.491315642031274,3.516018947690114,3.7001986451382876,3.368766872103092,3.7179748382824838,3.4049304742015996
1000-2000,Personal Travel,1346.5439168780958,2.522773951914945,3.706657001328984,2.5210825178204663,2.9034674398936815,3.101848495831823,2.823607587290081,3.202247191011236,3.056904675607104,3.3074785550320165,3.092787241754259,3.5103298296484233,3.363295880149813,3.6299383834722727,3.1338649269058836
2000-3000,Business travel,2469.4203955674006,2.7717772478608502,2.931547201571048,2.9373684948800673,3.007855239163978,3.381049235516903,3.787277317996914,3.8398092299060176,3.7048674428391077,3.642165801655211,3.691050638238182,3.7860148688455606,3.472857343245897,3.7603450694347034,3.5399074203955676
2000-3000,Personal Travel,2396.1820557491287,2.528310104529617,3.3797909407665507,2.5152439024390243,2.9464285714285716,2.8863240418118465,2.8297038327526134,3.0979965156794425,3.000871080139373,3.0993031358885017,3.163763066202091,3.4943379790940767,3.1236933797909407,3.374128919860627,3.0357142857142856
3000-4000,Business travel,3504.0814386515094,2.7428459427675422,2.934045472363779,2.9260094080752648,2.9990199921599374,3.3845550764406114,3.914935319482556,3.9093492747941982,3.7851822814582516,3.707173657389259,3.73343786750294,3.78812230497844,3.4829478635829085,3.796158369266954,3.5600744805958446
3000-4000,Personal Travel,3656.121212121212,2.3333333333333335,3.878787878787879,2.3636363636363638,2.878787878787879,2.515151515151515,2.8484848484848486,3.1818181818181817,3.787878787878788,3.393939393939394,3.5757575757575757,3.757575757575758,3.090909090909091,3.303030303030303,3.1818181818181817
> 4000,Business travel,4511.954545454545,2.787878787878788,2.8636363636363638,2.893939393939394,3.015151515151515,3.5757575757575757,3.484848484848485,3.5,3.5606060606060606,3.515151515151515,3.6515151515151514,4.045454545454546,3.4696969696969697,3.6515151515151514,3.5606060606060606
> 4000,Personal Travel,4739.791666666667,2.5,3.0416666666666665,2.5416666666666665,3.0833333333333335,2.5416666666666665,3.0,3.125,2.7916666666666665,2.75,3.5416666666666665,3.375,3.125,2.6666666666666665,3.125
