year,Qatar,United Arab Emirates,Bahrain,Luxembourg,Kuwait,United States,Australia,Brunei Darussalam,Canada,Saudi Arabia
1990,26.32932654,30.19518857,21.65641314,29.56658374,13.90221204,19.40734628,15.44848844,12.60078697,15.14888987,10.55884314
1991,30.73741059,31.77849624,20.30359266,30.36175711,3.849757076,19.00340342,15.31821338,12.69683856,14.74101397,11.2045202
1992,29.63244066,29.08092584,23.45712527,29.17065086,0.0,19.02286035,15.34152615,13.10754761,15.0282342,11.69031249
1993,33.12202505,29.27567777,24.37468762,29.3100195,0.0,19.2183334,15.45536877,13.95180415,14.71338582,11.44269558
1994,36.46626328,30.84933296,24.32722575,26.8288143,0.0,19.25621185,15.69196304,14.75201415,15.06034534,11.32945089
1995,37.10217413,31.12501806,24.01995395,21.19302539,22.57291362,19.21690864,16.05688358,15.48237702,15.29060285,10.98944728
1996,40.07417742,30.92802588,24.45300444,21.09964391,21.90111245,19.5753803,16.42783027,15.85582037,15.59259037,11.4348952
1997,47.42957483,30.48633262,24.23826789,19.64477292,21.80958768,20.33085525,16.62526327,16.76486239,15.94398546,11.33964215
1998,48.0450209,29.66358052,25.24046883,17.8243466,23.0077641,20.26630029,17.5629309,14.16328513,16.07651198,11.82310273
1999,50.83385044,28.88710798,24.27184466,18.39828097,23.43667537,20.10113245,17.6323576,13.58004255,16.25852275,11.86063692
2000,48.37400227,27.03515911,23.8937121,19.61952785,24.37017236,20.46980666,17.7230721,14.16711189,16.75762643,12.08197508
2001,46.58438114,29.43026994,23.49652355,20.65568201,25.28915647,20.17153061,17.80456395,13.85143381,16.33156895,11.98388163
2002,50.71215469,28.50146173,23.42410876,22.0093006,26.01321211,19.445549,17.9819247,13.32268255,16.72030149,12.48548405
2003,50.95403383,27.96926982,23.03816133,22.67342686,26.88716685,19.50649945,17.72168373,15.62433655,17.20830161,12.68355031
2004,49.20805129,27.03893822,21.60641891,25.45323535,28.13454038,19.5976305,18.17472687,14.18897462,16.79426996,12.96390807
2005,44.53380584,25.38238104,23.26923202,25.60420297,30.79469952,19.46926248,18.14629201,13.66703853,17.02748527,13.23848219
2006,42.79830768,22.93510429,23.46563028,24.79704354,30.51404573,18.94591375,18.14145349,20.30994264,16.5953499,13.69237149
2007,40.89652419,21.37028576,22.20240095,23.14617017,28.19459481,19.04291352,18.52109701,19.04167531,17.38057011,14.08083313
2008,36.91870848,22.01146924,22.21335064,22.55192972,28.55410798,18.27849449,18.30374802,20.847719,16.55692294,15.05376806
2009,32.67180019,19.83234887,20.8594387,20.97299341,27.5253006,16.80869862,18.22309955,20.50002315,15.50214503,15.26569182
2010,32.63430234,19.03976975,20.92896507,21.7574405,26.97965604,17.43173849,17.59006927,18.44923521,15.79214123,16.26936986
2011,33.4944129,18.50945738,20.35750059,21.02838372,26.29058751,16.60421817,17.29541584,18.61885184,15.9959443,16.40642066
2012,34.18822184,19.20780112,20.90093256,20.13387346,25.47440065,15.78978264,17.02204223,18.29587739,15.73447396,16.89149679
2013,32.5989398,20.05564757,21.93867997,18.68006408,24.77326637,16.11118443,16.44231571,17.82826519,15.83846027,16.74461002
2014,33.20589511,20.05169797,22.66343283,17.34616222,23.1838022,16.04092103,15.83042152,17.27764771,15.84990541,17.48316332
2015,33.04351032,21.07764197,22.29101801,16.02867977,23.20895692,15.56003496,15.863288,15.42488346,15.64858561,17.81940147
2016,32.74588827,21.48066861,21.25133118,15.20582045,23.13702198,15.1498852,15.91465712,16.60349981,15.42060171,17.29871828
2017,32.12798967,20.76902233,20.42732768,15.09216281,22.36876769,14.82326087,15.81831632,17.17391347,15.54457104,16.4667833
2018,31.0675333,18.39067806,19.63120569,15.33020757,22.08921039,15.22254765,15.49352925,17.5773964,15.65057904,15.46639077
2019,32.47446876,19.32956328,20.26610279,15.30642656,22.0224164,14.67341061,15.23826715,16.13215855,15.43061283,15.28457873
