year,Action,Adventure,Crime,Drama,Romance,Science Fiction
1935,0,0,0,0,1,0
1936,1,1,0,3,0,0
1937,0,2,0,2,2,0
1938,0,0,0,2,4,0
1939,0,2,0,4,2,0
1940,0,2,0,4,2,0
1941,0,0,0,1,0,0
1942,0,0,0,2,1,0
1943,0,0,0,0,0,0
1944,0,0,0,2,2,0
1945,0,0,0,5,2,0
1946,0,0,0,4,2,0
1947,2,0,2,6,4,0
1948,0,0,1,0,2,0
1949,1,0,0,1,0,0
1950,2,0,0,0,2,0
1951,0,0,0,4,4,0
1952,2,0,2,4,4,0
1953,0,1,1,5,2,1
1954,1,2,1,6,0,2
1955,0,0,0,1,0,0
1956,1,2,0,5,1,0
1957,0,0,0,3,0,0
1958,0,0,0,2,2,0
1959,0,0,0,4,4,0
1960,0,0,0,7,2,0
1961,2,0,2,10,2,0
1962,3,4,2,10,3,1
1963,9,9,2,10,6,0
1964,4,2,0,12,4,0
1965,2,2,0,9,4,0
1966,2,1,3,4,0,1
1967,4,2,4,4,0,0
1968,0,2,0,8,1,5
1969,9,4,6,16,5,0
1970,9,6,0,18,3,2
1971,8,2,4,4,4,4
1972,2,4,5,11,0,6
1973,4,2,5,8,2,4
1974,2,3,4,6,3,2
1975,1,3,0,4,2,1
1976,4,4,3,6,4,2
1977,14,12,0,17,4,12
1978,11,10,0,11,6,7
1979,16,16,4,10,2,17
1980,15,8,3,22,4,13
1981,22,24,6,22,9,8
1982,20,16,3,18,5,20
1983,20,20,7,20,10,14
1984,32,21,15,29,8,17
1985,25,27,8,24,12,15
1986,19,19,10,22,16,14
1987,21,23,9,27,7,12
1988,16,14,9,29,8,9
1989,29,27,9,26,8,13
1990,23,23,12,26,13,14
1991,30,27,17,33,8,14
1992,23,15,24,32,19,12
1993,42,36,20,65,24,18
1994,59,27,35,53,25,12
1995,73,33,52,93,40,15
1996,64,42,43,148,49,27
1997,105,69,63,127,45,48
1998,68,58,50,180,76,37
1999,65,32,60,229,100,57
2000,102,63,73,192,89,53
2001,149,78,90,183,136,52
2002,141,110,90,267,107,47
2003,118,77,80,162,62,42
2004,118,90,57,238,121,53
2005,132,101,80,280,121,36
2006,129,96,82,312,108,48
2007,118,73,77,242,89,33
2008,129,103,85,266,99,74
2009,131,105,80,287,133,88
2010,133,87,77,270,114,45
2011,159,90,61,226,75,65
2012,122,74,68,187,94,55
2013,154,100,100,250,56,72
2014,149,103,65,247,58,63
2015,118,100,67,219,54,71
2016,105,67,25,86,20,30
