Company,Language,Commits
Facebook,Boogie,5
Tencent,C,13
Microsoft,Lean,13
Apple,C,1
CircleCI,HTML,4
Microsoft,C,12
JetBrains,Java,4
PingCAP,Rust,1
CS Group,C,4
Lyft,C++,3
Google,Objective-C,5
Renovateapp,CSS,24
Puppet,Go,2
Goldman Sachs,Java,13
Talend,C,2
Obvious,JavaScript,2
VMware,HCL,3
Cloudbees,Go,2
Microsoft,Jupyter Notebook,8
VMware,HTML,5
Polidea,None,8
JankariTech,Dockerfile,1
Facebook,Makefile,2
Pixel & Tonic,PHP,18
Couchbase,Java,3
GitHub,Go,7
Red Hat,Jinja,9
Travis CI,Shell,31
Expedia Group,C++,1
eBay,JavaScript,3
Cloudera,Python,18
Google,C#,15
Salesforce,Apex,24
Oracle,Ruby,2
VMware,C,1
Kaltura,Python,2
Amazon,SWIG,1
Travis CI,CSS,6
Lablup,Python,2
Google,C++,308
Red Hat,TypeScript,48
Google,Rust,15
Nextcloud,Python,1
ThoughtWorks,Go,2
VMware,Java,2
Snyk,TypeScript,21
JankariTech,JavaScript,1
Mozilla,Python,1
Salesforce,CSS,10
Microsoft,Java,6
Baidu,HTML,1
Autodesk,HTML,2
Canonical,C,14
Facebook,C++,165
Sony,Java,4
Datadoghq,Go,2
GitLab,HTML,2
Microsoft,SCSS,1
WarnerMedia,Python,3
Bloomberg,C,11
Travis CI,Nunjucks,1
Renovateapp,Java,75
Renovateapp,Shell,7
Datadoghq,Scala,1
BBC,JavaScript,1
IBM,Java,21
BBC,Python,8
Facebook,Ruby,5
Travis CI,Mustache,1
Bootlin,Makefile,5
Dimagi,Python,1
ARM,None,2
Red Hat,Kotlin,3
Facebook,Java,9
Exoplatform,Java,1
eBay,Scala,3
Travis CI,Rich Text Format,1
Mozilla,Java,3
Hewlett Packard Enterprise,Python,6
SAP,Shell,4
Google,Python,36
ARM,Python,10
Yandex,TeX,1
Renovateapp,EJS,1
Amazon,C#,1
Red Hat,Shell,32
Microsoft,CMake,10
Kaltura,TypeScript,8
Red Hat,None,38
Kaltura,Ruby,1
Cloudfare,TypeScript,1
Unity Technologies,C#,1
Oracle,Python,2
Chef,Go,2
Nextcloud,JavaScript,20
Travis CI,TeX,3
Reaktor,TypeScript,1
Autodesk,C#,7
Alibaba,C++,6
Atomist,TypeScript,1
Alibaba,Python,4
Nordic Semiconductor,None,1
Canonical,Shell,16
ScyllaDB,Java,2
Binary Group,JavaScript,20
Renovateapp,Handlebars,9
Acsone,JavaScript,17
Igalia,HTML,1
Red Hat,Ruby,23
Mozilla,JavaScript,4
Red Hat,Go,48
Google,Dart,28
Microsoft,CSS,16
Red Hat,Dockerfile,3
LabKey,TypeScript,6
Google,Kotlin,11
Spryker,PHP,4
Intel,HTML,1
Amazon,TypeScript,4
Camptocamp,Python,21
Microsoft,Clojure,7
Intel,Groovy,7
Google,Jupyter Notebook,10
Buoyant,JavaScript,2
SAP,JavaScript,24
Red Hat,Makefile,14
IBM,Ruby,10
Percona,Python,5
Cisco Systems,C,9
Cloudfare,HTML,2
mongoDB,C++,9
Plotly,JavaScript,3
Google,WebAssembly,4
Google,Starlark,14
CGI,TypeScript,6
SAP,C,2
Amazon,Jupyter Notebook,14
Adobe,Python,2
MediaTek,C,1
Infosiftr,Dockerfile,1
Ad Hoc,PLpgSQL,3
ARM,C,23
Microsoft,None,28
VMware,Go,33
Linaro,Python,3
Oracle,Java,2
Collabora,JavaScript,1
Analog Devices,C,1
Intel,Haskell,3
Mozilla,Rust,7
Huawei,None,2
Eficent,Python,19
Amazon,Go,8
Atlassian,TypeScript,9
RStudio,Java,4
EPAM,Java,22
Mozilla,Swift,3
Sonymobile,Java,2
Red Hat,C,260
Adguard,Adblock Filter List,21
Facebook,Shell,3
Samsung,PLpgSQL,1
Qt,C++,1
Google,Smarty,1
Intel,Shell,1
Zalando,Java,3
Cisco Systems,Go,4
ARM,Go,2
Automattic,PHP,1
Square,Kotlin,8
Arbisoft,Python,17
ARM,TypeScript,9
Travis CI,PHP,3
ESRI,C#,2
Baidu,C++,4
Huawei,Go,3
ThoughtWorks,Python,4
Azavea,Scala,1
Travis CI,Java,29
Amazon,C,58
Google,JavaScript,27
Oracle,Haskell,1
Baidu,CSS,4
SUSE,C++,2
IBM,TypeScript,75
Collabora,C,3
Endlessm,C++,1
Docker,None,2
GitHub,Shell,8
Snyk,Rust,1
Salesforce,JavaScript,2
Brave,HTML,7
