Company,License,Commits
Renovateapp,mit,1441
Google,other,519
Microsoft,mit,447
Renovateapp,apache-2.0,372
Google,apache-2.0,361
Bitnami,other,336
Renovateapp,agpl-3.0,291
Red Hat,apache-2.0,232
Renovateapp,other,225
Red Hat,other,219
Infosiftr,mit,216
Travis CI,mit,196
Facebook,other,153
Microsoft,cc-by-4.0,148
Intel,other,141
IBM,apache-2.0,139
Red Hat,gpl-2.0,136
Pivotal,apache-2.0,136
Red Hat,gpl-3.0,127
GitHub,gpl-3.0,118
Palo Alto Networks,mit,109
Cloudera,apache-2.0,108
Intel,apache-2.0,98
Amazon,apache-2.0,93
GitHub,mit,89
Microsoft,apache-2.0,85
Microsoft,other,84
Google,mit,80
Huawei,other,79
Google,bsd-3-clause,76
Mozilla,other,71
Travis CI,apache-2.0,69
SUSE,other,68
Gradle,apache-2.0,64
VMware,apache-2.0,63
JetBrains,apache-2.0,63
IBM,mit,55
Tencent,other,54
Travis CI,other,54
Kaltura,agpl-3.0,50
Renovateapp,gpl-3.0,50
Mozilla,mpl-2.0,49
GitHub,agpl-3.0,49
Obvious,mit,48
Yandex,apache-2.0,48
WIX,mit,48
Kitware,other,47
Mellanox Technologies,other,46
SUSE,apache-2.0,46
Polidea,apache-2.0,46
Amazon,mit,46
Facebook,mit,44
Snyk,mit,41
Salesforce,bsd-3-clause,41
Confluent,apache-2.0,40
IBM,other,39
Travis CI,mpl-2.0,39
Intel,bsd-3-clause,38
SAP,apache-2.0,37
Travis CI,gpl-3.0,35
Julia Computing,mit,34
SUSE,gpl-2.0,33
Tencent,mit,33
GitHub,apache-2.0,32
Nextcloud,agpl-3.0,32
Linaro,other,32
Liferay,other,30
Odoo,other,30
Infosiftr,apache-2.0,29
Amazon,mit-0,29
Travis CI,agpl-3.0,28
CircleCI,mit,28
Huawei,bsd-3-clause,28
JankariTech,agpl-3.0,26
Red Hat,mit,26
Verizon Media,other,25
ARM,other,25
Kitware,bsd-3-clause,25
Red Hat,lgpl-3.0,25
SAP,other,25
Facebook,apache-2.0,25
Oracle,other,24
Renovateapp,0bsd,24
SecOps Solutions,mit,24
Travis CI,bsd-2-clause,23
NVidia,apache-2.0,23
Netflix,apache-2.0,23
Acsone,mit,22
Uber,mit,22
DigitalOcean,apache-2.0,22
GitHub,other,21
Palantir,apache-2.0,21
Bootlin,other,21
NVidia,unlicense,20
mongoDB,apache-2.0,20
LG Electronics,mit,20
Mellanox Technologies,apache-2.0,20
Google,bsd-2-clause,20
Uber,apache-2.0,20
Binary Group,apache-2.0,20
ScyllaDB,apache-2.0,20
EPAM,apache-2.0,20
Open Robotics,apache-2.0,19
Eficent,agpl-3.0,19
Yahoo,apache-2.0,19
AMD,other,19
mongoDB,other,19
AMD,mit,19
Pixel & Tonic,other,18
Broadcom,other,18
Automattic,gpl-2.0,18
Digital Asset,apache-2.0,18
Adguard,lgpl-3.0,18
Cisco Systems,gpl-3.0,18
Acsone,other,17
Amazon,other,17
Renovateapp,bsd-2-clause,17
Huawei,apache-2.0,17
Block.one,mit,17
Camptocamp,wtfpl,16
Elastic,other,16
Pyup,mit,16
Netflix,mit,16
Apple,apache-2.0,16
Adguard,gpl-3.0,16
PTV Group,isc,16
Canonical,apache-2.0,16
IBM,unlicense,16
NVidia,other,16
EPAM,mit,15
Bitnami,apache-2.0,15
ARM,apache-2.0,15
Cisco Systems,apache-2.0,14
Travis CI,bsd-3-clause,14
ScyllaDB,agpl-3.0,14
Snyk,other,14
Red Hat,lgpl-2.1,14
Twitter,mit,14
Arbisoft,agpl-3.0,14
Alibaba,mit,14
Goldman Sachs,apache-2.0,13
Baidu,apache-2.0,13
Intel,mit,13
Bloomberg,other,13
Renovateapp,zlib,13
Canonical,other,13
Alibaba,apache-2.0,13
Synopsys,other,13
Huawei,mit,13
Siemens,other,12
Amazon,gpl-3.0,12
Balena,apache-2.0,12
CircleCI,mpl-2.0,12
Travis CI,cc-by-sa-4.0,12
Collabora,agpl-3.0,12
Unity Technologies,other,12
Twilio,mit,12
LinkedIn,apache-2.0,12
Brave,mpl-2.0,12
Red Hat,bsd-3-clause,11
Collabora,gpl-3.0,11
Google,gpl-3.0,11
Linaro,gpl-3.0,11
Wind River,other,11
Kitware,apache-2.0,11
TI,other,11
Stripe,apache-2.0,10
Accenture,mit,10
Accenture,apache-2.0,10
New Relic,gpl-2.0,10
Samsung,apache-2.0,10
Pivotal,mit,10
Square,apache-2.0,10
LINE Corporation,apache-2.0,10
Samsung,other,9
Renovateapp,bsd-3-clause,9
Sony,other,9
Percona,gpl-2.0,9
Cisco Systems,other,9
Cloudfare,mit,9
Adobe,osl-3.0,9
Datadoghq,bsd-3-clause,9
VMware,mit,9
Microsoft,gpl-3.0,9
Atlassian,mit,9
Chef,apache-2.0,9
Binary Group,other,8
BBC,apache-2.0,8
ThoughtWorks,apache-2.0,8
NXP,other,8
Travis CI,lgpl-3.0,8
CircleCI,other,8
Travis CI,gpl-2.0,8
Mozilla,apache-2.0,8
Test.com,mit,8
Andela,mit,8
SAP,mit,8
ARM,mit,8
Apple,other,7
Oracle,apache-2.0,7
SUSE,gpl-3.0,7
Lyft,apache-2.0,7
VMware,other,7
NXP,mit,7
Pyup,gpl-3.0,7
ConsenSys,apache-2.0,7
Sentry,other,7
Gofore,epl-1.0,7
RStudio,other,7
Cisco Systems,mit,7
PingCAP,apache-2.0,7
GitHub,unlicense,7
ArangoDB,apache-2.0,7
Broadcom,mit,7
Pyup,bsd-3-clause,7
Uber,other,6
Equinor,gpl-3.0,6
Alibaba,other,6
Alibaba,gpl-2.0,6
LabKey,other,6
Salesforce,apache-2.0,6
Mapbox,cc0-1.0,6
Shopify,other,6
Silverstripe,bsd-3-clause,6
Facebook,afl-3.0,6
CGI,mit,6
Twitter,apache-2.0,6
Adobe,mit,6
EuroLinux,gpl-2.0,6
Netflix,other,6
Tencent,apache-2.0,6
Pyup,apache-2.0,6
Snyk,apache-2.0,6
Salesforce,mit,5
Renovateapp,unlicense,5
Pyup,bsd-2-clause,5
Cockroachlabs,other,5
