Company,Commits
Renovateapp,2457
Google,1080
Red Hat,790
Microsoft,782
Travis CI,504
Bitnami,353
GitHub,330
Intel,294
IBM,251
Infosiftr,246
Facebook,239
Amazon,200
SUSE,156
Pivotal,146
Huawei,138
Mozilla,131
Palo Alto Networks,110
Cloudera,108
Tencent,97
Kitware,83
VMware,80
SAP,75
Snyk,70
Mellanox Technologies,66
JetBrains,65
Gradle,64
NVidia,59
Yandex,54
Salesforce,52
ARM,51
Pyup,50
Kaltura,50
WIX,50
Cisco Systems,49
CircleCI,49
Uber,48
Obvious,48
Linaro,47
Polidea,46
Netflix,45
Acsone,42
Alibaba,40
Confluent,40
mongoDB,39
Nextcloud,38
AMD,38
Oracle,36
EPAM,35
Julia Computing,35
Adguard,34
ScyllaDB,34
Canonical,33
Collabora,32
Liferay,30
Odoo,30
Binary Group,28
Broadcom,28
Verizon Media,28
JankariTech,27
Apple,25
Accenture,24
Samsung,24
SecOps Solutions,24
Yahoo,23
Palantir,23
DigitalOcean,22
LG Electronics,22
Bootlin,21
Open Robotics,21
Camptocamp,21
Automattic,20
Twitter,20
Adobe,19
Eficent,19
Elastic,18
Pixel & Tonic,18
Digital Asset,18
Arbisoft,17
Block.one,17
LinkedIn,16
PTV Group,16
NXP,16
Bloomberg,15
Baidu,15
Synopsys,15
Cloudfare,14
Atlassian,14
Chef,13
Percona,13
Goldman Sachs,13
Wind River,13
New Relic,13
Unity Technologies,12
Balena,12
Brave,12
Twilio,12
LINE Corporation,12
Siemens,12
ThoughtWorks,12
Datadoghq,12
TI,11
Stripe,10
Square,10
Sony,9
Autodesk,9
HashiCorp,9
BBC,9
Buoyant,8
Shopify,8
Sentry,8
Andela,8
Test.com,8
Mapbox,7
ConsenSys,7
Lyft,7
RStudio,7
Zalando,7
CGI,7
Cockroachlabs,7
Gofore,7
PingCAP,7
GitLab,7
ArangoDB,7
eBay,7
ESRI,7
Azavea,6
Grafana,6
LabKey,6
Hewlett Packard Enterprise,6
Equinor,6
Silverstripe,6
Nordic Semiconductor,6
SiFive,6
EuroLinux,6
D2iQ,5
Kainos,5
Yunion,5
Cloudbees,5
HERE,5
Ericsson,5
Linutronix,5
Ant Financial,5
Microchip Technology,5
Instructure,5
Cozy,4
Spryker,4
Orange,4
Docker,4
CS Group,4
Expedia Group,4
Truss Works,4
iXsystems,3
Couchbase,3
WarnerMedia,3
Puppet,3
Infosys Ltd,3
Autonomous,3
H2O.ai,3
Plotly,3
Ad Hoc,3
Reaktor,3
The guardian,2
Igalia,2
Talend,2
WSO2,2
Aiven,2
Sonymobile,2
GatsbyJS,2
commercetools,2
Lablup,2
MediaTek,2
Philips,2
Linagora,2
Indexdata,2
Iohk,2
Endlessm,2
TeamDev,1
Bosch,1
Shopware,1
Dimagi,1
Qt,1
LunarG,1
Enalean,1
Joyent,1
Luxoft,1
Dynatrace,1
Origin,1
Capgemini,1
Camunda,1
RTE,1
STMicroelectronics,1
Analog Devices,1
Citrix,1
Exoplatform,1
Improbable,1
Splunk,1
Atomist,1
tweag.io,1
MuleSoft,1
Espressif,1
MariaDB,1
